State,CWSRF Base,"IIJA CWSRF
General Supplemental","IIJA CWSRF
Emerging Contaminants",FY25 Total
Alabama,17740000,27546000,2378000,47664000
Alaska,9495000,14744000,1273000,25512000
Arizona,10716000,16639000,1436000,28791000
Arkansas,10378000,16115000,1391000,27884000
California,113468000,176186000,15208000,304862000
Colorado,12691000,19705000,1701000,34097000
Connecticut,19436000,30179000,2605000,52220000
Delaware,7788000,12094000,1043000,20925000
Florida,53553000,83155000,7177000,143885000
Georgia,26824000,41651000,3596000,72071000
Hawaii,12288000,19079000,1647000,33014000
Idaho,7788000,12094000,1043000,20925000
Illinois,71753000,111415000,9617000,192785000
Indiana,38235000,59369000,5124000,102728000
Iowa,21472000,33341000,2878000,57691000
Kansas,14320000,22236000,1920000,38476000
Kentucky,20192000,31353000,2707000,54252000
Louisiana,17441000,27080000,2337000,46858000
Maine,12281000,19069000,1646000,32996000
Maryland,38371000,59581000,5143000,103095000
Massachusetts,53866000,83639000,7220000,144725000
Michigan,68217000,105924000,9144000,183285000
Minnesota,29160000,45279000,3909000,78348000
Mississippi,14294000,22195000,1916000,38405000
Missouri,43981000,68292000,5894000,118167000
Montana,7788000,12094000,1043000,20925000
Nebraska,8115000,12601000,1088000,21804000
Nevada,7788000,12094000,1043000,20925000
New Hampshire,15855000,24618000,2125000,42598000
New Jersey,64832000,100668000,8689000,174189000
New Mexico,7788000,12094000,1043000,20925000
New York,175118000,271909000,23477000,470504000
North Carolina,28633000,44460000,3838000,76931000
North Dakota,7788000,12094000,1043000,20925000
Ohio,89315000,138683000,11971000,239969000
Oklahoma,12818000,19903000,1718000,34439000
Oregon,17922000,27829000,2402000,48153000
Pennsylvania,62844000,97582000,8423000,168849000
Rhode Island,10653000,16541000,1428000,28622000
South Carolina,16253000,25237000,2178000,43668000
South Dakota,7788000,12094000,1043000,20925000
Tennessee,23047000,35787000,3089000,61923000
Texas,72514000,112596000,9719000,194829000
Utah,8360000,12980000,1121000,22461000
Vermont,7788000,12094000,1043000,20925000
Virginia,32469000,50416000,4352000,87237000
Washington,27590000,42840000,3698000,74128000
West Virginia,24732000,38402000,3315000,66449000
Wisconsin,42891000,66599000,5749000,115239000
Wyoming,7788000,12094000,1043000,20925000
