State,DWSRF Base,"IIJA DWSRF
General Supplemental","IIJA DWSRF
Emerging Contaminants",IIJA DWSRF LSLR,FY25 Total
Alabama,19257000,43963000,13490000,41853000,76710000
Alaska,10906000,24898000,7640000,28650000,43444000
Arizona,19079000,43556000,13365000,28650000,76000000
Arkansas,13058000,29810000,9147000,28650000,52015000
California,117662000,268618000,82428000,28650000,468708000
Colorado,19105000,43616000,13384000,28650000,76105000
Connecticut,10906000,24898000,7640000,28650000,43444000
Delaware,10906000,24898000,7640000,28650000,43444000
Florida,39357000,89851000,27572000,34133000,156780000
Georgia,29571000,67510000,20716000,35154000,117797000
Hawaii,10906000,24898000,7640000,28650000,43444000
Idaho,10906000,24898000,7640000,28650000,43444000
Illinois,33096000,75558000,23186000,309568000,131840000
Indiana,18713000,42722000,13109000,133960000,74544000
Iowa,16397000,37434000,11487000,55038000,65318000
Kansas,12163000,27768000,8521000,55844000,48452000
Kentucky,13277000,30311000,9301000,28650000,52889000
Louisiana,14889000,33990000,10430000,28650000,59309000
Maine,10906000,24898000,7640000,28650000,43444000
Maryland,22660000,51732000,15874000,28650000,90266000
Massachusetts,23415000,53457000,16404000,34037000,93276000
Michigan,24884000,56811000,17433000,149392000,99128000
Minnesota,16497000,37663000,11557000,60964000,65717000
Mississippi,13658000,31181000,9568000,28650000,54407000
Missouri,17755000,40535000,12438000,65273000,70728000
Montana,10906000,24898000,7640000,28650000,43444000
Nebraska,10906000,24898000,7640000,36055000,43444000
Nevada,11307000,25814000,7921000,28650000,45042000
New Hampshire,10906000,24898000,7640000,28650000,43444000
New Jersey,19360000,44199000,13563000,107750000,77122000
New Mexico,10906000,24898000,7640000,28650000,43444000
New York,50941000,116298000,35687000,191662000,202926000
North Carolina,30053000,68611000,21054000,28650000,119718000
North Dakota,10906000,24898000,7640000,28650000,43444000
Ohio,24628000,56225000,17253000,202669000,98106000
Oklahoma,15851000,36188000,11104000,28650000,63143000
Oregon,16405000,37452000,11493000,28650000,65350000
Pennsylvania,35979000,82141000,25205000,135416000,143325000
Rhode Island,10906000,24898000,7640000,28650000,43444000
South Carolina,13631000,31119000,9549000,28650000,54299000
South Dakota,10906000,24898000,7640000,28650000,43444000
Tennessee,18359000,41912000,12861000,48423000,73132000
Texas,86951000,198508000,60914000,77961000,346373000
Utah,10906000,24898000,7640000,28650000,43444000
Vermont,10906000,24898000,7640000,28650000,43444000
Virginia,15400000,35159000,10789000,28650000,61348000
Washington,24974000,57015000,17495000,28650000,99484000
West Virginia,10906000,24898000,7640000,28650000,43444000
Wisconsin,18674000,42633000,13082000,101423000,74389000
Wyoming,10906000,24898000,7640000,28650000,43444000
