"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"IL",0,422755780,7840495320.60734,7643020777.33438,1165998377.89474,838940073.194737,422755780,197474543.272951,-327058304.7,-524532847.972951,-327058304.7,-524532847.972951,0,-327058304.7,"Negative Net Impact"
"TX",0,663938480,7569058454.32222,7262788574.81436,1429493213.68421,1335675595.05421,663938480,306269879.507858,-93817618.6299994,-400087498.137858,-93817618.6299994,-400087498.137858,0,-93817618.6299994,"Negative Net Impact"
"MD",0,246539720,2860898170.44509,2757421522.84514,664388686.315789,509953087.765789,246539720,103476647.599945,-154435598.55,-257912246.149945,-154435598.55,-257912246.149945,0,-154435598.55,"Negative Net Impact"
"CT",0,199457600,2327856492.71731,2234540475.22554,319339027.368421,315700475.573421,199457600,93316017.4917736,-3638551.79500008,-96954569.2867737,-3638551.79500008,-96954569.2867737,0,-3638551.79500008,"Negative Net Impact"
"FL",0,855232410,4470747131.48703,4110339027.72865,942443931.578947,1238061398.03895,855232410,360408103.758375,295617466.46,-64790637.2983749,295617466.46,-64790637.2983749,295617466.46,0,"Negative Net Impact"
"WA",0,484439970,2728714088.99767,2505694354.29844,496953572.631579,693082841.351579,484439970,223019734.699227,196129268.72,-26890465.9792266,196129268.72,-26890465.9792266,196129268.72,0,"Negative Net Impact"
"OK",0,230850000,2456850537.41876,2349696014.60714,232058421.052632,328963167.202632,230850000,107154522.811622,96904746.1499999,-10249776.6616222,96904746.1499999,-10249776.6616222,96904746.1499999,0,"Negative Net Impact"
"OR",0,360324540,1284502266.66541,1113371170.49218,295689042.105263,468738370.705263,360324540,171131096.173238,173049328.6,1918232.42676222,173049328.6,1918232.42676222,173049328.6,0,"Positive Net Impact"
"ME",0,704949670,748870555.79738,472135582.230842,209956652.631579,786577607.631579,704949670,276734973.566538,576620955,299885981.433462,576620955,299885981.433462,576620955,0,"Positive Net Impact"
"AK",0,632170000,354237763.591649,190488199.669191,159650736.842105,692598135.982105,632170000,163749563.922458,532947399.14,369197835.217542,532947399.14,369197835.217542,532947399.14,0,"Positive Net Impact"
