Agency,Account,Location,Project,Amount,Requestor(s)
Bureau of Indian Affairs,Operation of Indian Programs,AK,Cook Inlet Tribal Council for Commission on Native Children Rec- ommendation Dissemination.,"$500,000",Murkowski
Bureau of Indian Affairs,Operation of Indian Programs,AK,Robert Aqqaluk Newlin Sr Memorial Trust for Uqapiaqta Inupiatun Adult Fluency Program.,"241,000",Murkowski
Bureau of Indian Affairs,Operation of Indian Programs,MN,North American Traditional Indigenous Food Systems for Minnesota Native American Economic Empowerment.,"2,000,000","Klobuchar, Smith"
Bureau of Indian Affairs,Operation of Indian Programs,NM,Eight Northern Indian Pueblos Council for Caja del Rio Ethno- graphic Study.,"500,000",Heinrich
Bureau of Indian Affairs,Operation of Indian Programs,WA,CRITFC for Columbia River In-Lieu/Treaty Fishing Access Site Con- struction.,"5,250,000","Cantwell, Merkley, Murray, Wyden"
Bureau of Land Management,Management of Lands and Resources,NM,Bureau of Land Management for Rio Grande del Norte Wildlife Habitat Restoration.,"150,000",Heinrich
Bureau of Land Management,Management of Lands and Resources,OR,Bureau of Land Management for Panther Creek Trail Network Con- struction.,"3,096,000","Merkley, Wyden"
Environmental Protection Agency,Science and Technology-Research: National priorities,DE,STRIDE Center for PFAS Solutions for Monitoring PFAS and Other Emerging Contaminants.,"400,000",Coons 161
Environmental Protection Agency,Science and Technology-Research: National priorities,MA,Greater Boston Physicians for Social Responsibility for Toxic Expo- sure Assessment.,"700,000","Markey, Warren"
Environmental Protection Agency,Science and Technology-Research: National priorities,MD,Chesapeake Bay Trust for Translating Science from the Pooled Monitoring Research Program.,"178,000","Alsobrooks, Van Hollen"
Environmental Protection Agency,Science and Technology-Research: National priorities,OR,Oregon Water Resources Department for Well Inspection and Con- struction of Monitoring Wells.,"2,000,000","Merkley, Wyden"
Environmental Protection Agency,Science and Technology-Research: National priorities,SC,Clemson University for technology development for the destruction of forever chemicals.,"3,000,000",Graham
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,City and Borough of Sitka for a Wastewater Effluent Disinfection Treatment System.,"10,000,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,City and Borough of Wrangell for Wastewater Treatment Plant Up- grades.,"10,000,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,City and Borough of Yakutat for Forest Highway Subdivision Water and Sewer Extension.,"1,504,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,City of Hoonah for Icy Strait Point Force Main Sewer Project,"5,121,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,City of Ketchikan for Charcoal Point Wastewater Treatment Plant Upgrades.,"6,000,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,City of Whittier for Wastewater Infrastructure Improvements,"1,590,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AK,Petersburg Borough for Wastewater Treatment Facility Upgrades,"8,000,000",Murkowski
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AL,City of Bayou La Batre for Wastewater System Improvements,"1,970,000",Britt
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AL,City of Gadsden for Drainage Infrastructure,"2,500,000",Britt
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AR,City of Blytheville for Wastewater System Improvements,"5,000,000",Boozman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AR,City of Conway for Tucker Creek Equalization Storage Facility,"4,775,000",Boozman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AR,City of Des Arc for Wastewater Infrastructure Improvements,"869,000",Boozman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AR,City of Hardy for Wastewater Treatment Facility Center,"1,072,000",Boozman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AR,City of Lewisville for Water Improvements,"3,840,000",Boozman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AR,Little Rock Water Reclamation Authority for Port of Little Rock Water Expansion.,"10,000,000",Boozman
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AZ,Colorado River Sewage System Joint Venture for Wastewater Treat- ment Facility Replacement.,"2,000,000","Gallego, Kelly"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],AZ,Tri City Regional Sanitary District for Sewer Upgrades,"2,850,000","Gallego, Kelly"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CA,City of Bakersfield for South MLK Sewer Project,"1,500,000",Padilla
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CA,County of Sutter for Robbins Wastewater Treatment Plant Back Up Generator.,"400,000",Schiff
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CA,County of Tulare for Goshen Sewer Study,"750,000",Padilla
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CA,The Inland Empire Utilities Agency for Cybersecurity Program Im- provements Project.,"1,180,000",Schiff
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CA,Valley Sanitary District for Recycled Water Project,"1,920,000",Schiff
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CO,City of Brush for Wastewater Treatment Facility Upgrades,"2,110,000","Bennet,"
,,,,,Hickenlooper
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CO,City of Evans for Stormwater Project,"500,000","Bennet, Hickenlooper"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CO,Town of Cokedale for Waste Water Treatment improvements,"2,000,000","Bennet, Hickenlooper"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CO,Town of Silverton for Augmentation Ponds,"2,366,000","Bennet, Hickenlooper"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CO,Ute Mountain Ute Tribe for Water Transmission,"1,700,000","Bennet, Hickenlooper"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Borough of Jewett City Department of Public Utilities for Waste- water Project.,"826,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,City of Torrington for Toro Field Siphon Abandonment and Sewer Replacement.,"2,000,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Naugatuck Valley Council of Governments for Sewer Siphon Reloca- tion Associated with Kinneytown Dam Removal.,"1,404,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Norwich Public Utilities for North Main Street Wastewater System Upgrade Project.,"960,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Town of Clinton for Design of Downtown Wastewater Collection Sys- tem and Treatment Facility.,"500,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Town of Ellington Water Pollution Control Authority for Sewer Main Replacement.,"975,000","Blumenthal, Mur- phy"
Environmental Protection Agency,STAG-Clean water state revolving funds [SRF],CT,Town of Fairfield for Sewer Upgrade,"900,000","Blumenthal, Mur- phy"
