"state","allotment","pct"
"Alabama",17919000,0.011181317172766
"Alaska",9591000,0.00598470969384444
"Arizona",10824000,0.00675409214119198
"Arkansas",10483000,0.00654131078308532
"California",114614000,0.0715182480294325
"Colorado",12819000,0.0079989566849538
"Connecticut",19632000,0.0122502159013194
"Delaware",7867000,0.00490894705051342
"Florida",54094000,0.0337542369073946
"Georgia",27095000,0.0169070700818179
"Hawaii",12412000,0.00774499183818134
"Idaho",7867000,0.00490894705051342
"Illinois",72478000,0.0452257104775787
"Indiana",38621000,0.0240992047842734
"Iowa",21689000,0.013533767964737
"Kansas",14465000,0.00902604793258887
"Kentucky",20396000,0.0127269459822387
"Louisiana",17617000,0.0109928715125073
"Maine",12405000,0.00774062389241375
"Maryland",38759000,0.0241853157151201
"Massachusetts",54410000,0.0339514184591884
"Michigan",68906000,0.0429968101516052
"Minnesota",29455000,0.0183796917977466
"Mississippi",14438000,0.00900920014177104
"Missouri",44425000,0.0277208558178542
"Montana",7867000,0.00490894705051342
"Nebraska",8197000,0.00511486449384244
"Nevada",7867000,0.00490894705051342
"New Hampshire",16015000,0.00999323592398277
"New Jersey",65487000,0.040863380640266
"New Mexico",7867000,0.00490894705051342
"New York",176887000,0.110376117570124
"North Carolina",28922000,0.0180471039271576
"North Dakota",7867000,0.00490894705051342
"Ohio",90217000,0.0562947090448925
"Oklahoma",12947000,0.00807882769327536
"Oregon",18103000,0.0112961317472282
"Pennsylvania",63479000,0.0396104041972215
"Rhode Island",10761000,0.00671478062928371
"South Carolina",16417000,0.0102440808094927
"South Dakota",7867000,0.00490894705051342
"Tennessee",23280000,0.0145265396384838
"Texas",73246000,0.0457049365275081
"Utah",8444000,0.00526899058021296
"Vermont",7867000,0.00490894705051342
"Virginia",32797000,0.0204650739056424
"Washington",27869000,0.0173900400852623
"West Virginia",24982000,0.0155885744522596
"Wisconsin",43324000,0.0270338403478382
"Wyoming",7867000,0.00490894705051342
