"state","allotment","pct"
"Alabama",19257000,0.0177
"Alaska",10906000,0.01
"Arizona",19079000,0.0175
"Arkansas",13058000,0.012
"California",117662000,0.1079
"Colorado",19105000,0.0175
"Connecticut",10906000,0.01
"Delaware",10906000,0.01
"Florida",39357000,0.0361
"Georgia",29571000,0.0271
"Hawaii",10906000,0.01
"Idaho",10906000,0.01
"Illinois",33096000,0.0303
"Indiana",18713000,0.0172
"Iowa",16397000,0.015
"Kansas",12163000,0.0112
"Kentucky",13277000,0.0122
"Louisiana",14889000,0.0137
"Maine",10906000,0.01
"Maryland",22660000,0.0208
"Massachusetts",23415000,0.0215
"Michigan",24884000,0.0228
"Minnesota",16497000,0.0151
"Mississippi",13658000,0.0125
"Missouri",17755000,0.0163
"Montana",10906000,0.01
"Nebraska",10906000,0.01
"Nevada",11307000,0.0104
"New Hampshire",10906000,0.01
"New Jersey",19360000,0.0178
"New Mexico",10906000,0.01
"New York",50941000,0.0467
"North Carolina",30053000,0.0276
"North Dakota",10906000,0.01
"Ohio",24628000,0.0226
"Oklahoma",15851000,0.0145
"Oregon",16405000,0.015
"Pennsylvania",35979000,0.033
"Puerto Rico",10906000,0.01
"Rhode Island",10906000,0.01
"South Carolina",13631000,0.0125
"South Dakota",10906000,0.01
"Tennessee",18359000,0.0168
"Texas",86951000,0.0797
"Utah",10906000,0.01
"Vermont",10906000,0.01
"Virginia",15400000,0.0141
"Washington",24974000,0.0229
"West Virginia",10906000,0.01
"Wisconsin",18674000,0.0171
"Wyoming",10906000,0.01
