"state","pct","allotment"
"Alabama",0.0177,6330747.9021
"Alaska",0.01,3576693.73
"Arizona",0.0175,6259214.0275
"Arkansas",0.012,4292032.476
"California",0.1079,38592525.3467
"Colorado",0.0175,6259214.0275
"Connecticut",0.01,3576693.73
"Delaware",0.01,3576693.73
"Florida",0.0361,12911864.3653
"Georgia",0.0271,9692840.0083
"Hawaii",0.01,3576693.73
"Idaho",0.01,3576693.73
"Illinois",0.0303,10837382.0019
"Indiana",0.0172,6151913.2156
"Iowa",0.015,5365040.595
"Kansas",0.0112,4005896.9776
"Kentucky",0.0122,4363566.3506
"Louisiana",0.0137,4900070.4101
"Maine",0.01,3576693.73
"Maryland",0.0208,7439522.9584
"Massachusetts",0.0215,7689891.5195
"Michigan",0.0228,8154861.7044
"Minnesota",0.0151,5400807.5323
"Mississippi",0.0125,4470867.1625
"Missouri",0.0163,5830010.7799
"Montana",0.01,3576693.73
"Nebraska",0.01,3576693.73
"Nevada",0.0104,3719761.4792
"New Hampshire",0.01,3576693.73
"New Jersey",0.0178,6366514.8394
"New Mexico",0.01,3576693.73
"New York",0.0467,16703159.7191
"North Carolina",0.0276,9871674.6948
"North Dakota",0.01,3576693.73
"Ohio",0.0226,8083327.8298
"Oklahoma",0.0145,5186205.9085
"Oregon",0.015,5365040.595
"Pennsylvania",0.033,11803089.309
"Puerto Rico",0.01,3576693.73
"Rhode Island",0.01,3576693.73
"South Carolina",0.0125,4470867.1625
"South Dakota",0.01,3576693.73
"Tennessee",0.0168,6008845.4664
"Texas",0.0797,28506249.0281
"Utah",0.01,3576693.73
"Vermont",0.01,3576693.73
"Virginia",0.0141,5043138.1593
"Washington",0.0229,8190628.6417
"West Virginia",0.01,3576693.73
"Wisconsin",0.0171,6116146.2783
"Wyoming",0.01,3576693.73
