"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"1","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","City and Borough of Sitka for a Wastewater Effluent Disinfection Treatment System.","10000000","Murkowski","S",""
"2","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","City and Borough of Wrangell for Wastewater Treatment Plant Up- grades.","10000000","Murkowski","S",""
"3","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","City and Borough of Yakutat for Forest Highway Subdivision Water and Sewer Extension.","1504000","Murkowski","S",""
"4","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","City of Hoonah for Icy Strait Point Force Main Sewer Project","5121000","Murkowski","S",""
"5","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","City of Ketchikan for Charcoal Point Wastewater Treatment Plant Upgrades.","6000000","Murkowski","S",""
"6","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","City of Whittier for Wastewater Infrastructure Improvements","1590000","Murkowski","S",""
"7","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AK","Petersburg Borough for Wastewater Treatment Facility Upgrades","8000000","Murkowski","S",""
"8","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Bayou La Batre for Wastewater System Improvements","1970000","Britt","S",""
"9","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Gadsden for Drainage Infrastructure","2500000","Britt","S",""
"10","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","City of Blytheville for Wastewater System Improvements","5000000","Boozman","S",""
"11","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","City of Conway for Tucker Creek Equalization Storage Facility","4775000","Boozman","S",""
"12","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","City of Des Arc for Wastewater Infrastructure Improvements","869000","Boozman","S",""
"13","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","City of Hardy for Wastewater Treatment Facility Center","1072000","Boozman","S",""
"14","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","City of Lewisville for Water Improvements","3840000","Boozman","S",""
"15","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AR","Little Rock Water Reclamation Authority for Port of Little Rock Water Expansion.","10000000","Boozman","S",""
