"","Agency","Account","State","...4","Amount","Requestor"
"1","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AL","City of Guntersville for Sanitary Sewer Improvements",2174898,"Aderholt"
"2","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","San Bernardino County for Bloomington Septic Conversion Project Phase 1",1092000,"Aguilar"
"3","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Cucamonga Valley Water District for Baseline Waterline Improvement Project",1092000,"Aguilar"
"4","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","West Valley Water District for Cybersecurity and Water Reliability Project",1092000,"Aguilar"
"5","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of Middletown for Sewer System Reconfiguration",1092000,"Amo"
"6","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","RI","Town of North Providence for Sewer Lining Project",343413,"Amo"
"7","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","RI","City of Newport for Reducing Lead in Drinking Water Project",1092000,"Amo"
"8","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Reno-Sparks Indian Colony for Wastewater Treatment Facility Design and Engineering",2224000,"Amodei"
"9","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","City of Fernley for Water Treatment Plant Upgrade",2e+06,"Amodei"
"10","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","City of West Wendover for Water Transmission System Pipeline Replacement",2e+06,"Amodei"
"11","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NV","Lyon County for Sewer Rehabilitation Project",1937766,"Amodei"
"12","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","City of Elko for Water Storage Tank Reconstruction",2e+06,"Amodei"
"13","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NV","Gardnerville Ranchos General Improvement District for Pipeline Replacement Project",2e+06,"Amodei"
"14","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Tolleson for Wastewater Digester Project",1092000,"Ansari"
"15","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Dighton for Pump Station Project",350000,"Auchincloss"
"16","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Needham for Stormwater Management Project",1092000,"Auchincloss"
"17","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Swansea for Route 6 Corridor Sewer Collection Project",1092000,"Auchincloss"
"18","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","City of Fall River for Lead Service Line Replacement Project",1092000,"Auchincloss"
"19","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Foxborough for PFAS Treatment Plant",1092000,"Auchincloss"
"20","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Freetown for Water Line Extension Project",1e+06,"Auchincloss"
"21","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Mendon for Water System Expansion Project",960000,"Auchincloss"
"22","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Plainville for Water Treatment Plant Replacement Project",1092000,"Auchincloss"
"23","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Town of Sharon for Water Main Replacement Project",906560,"Auchincloss"
"24","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Beaumont for Wastewater Interceptor Rehabilitation",1e+06,"Babin"
"25","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NE","Sarpy County for Sewer Extension Project",2e+06,"Bacon"
"26","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","City of Cambridge for Waterline Project",2e+06,"Balderson"
"27","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Thornville for Regional Wastewater Plant Project",1e+06,"Balderson"
"28","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Muskingum County for Waterline Expansion Project",9e+05,"Balderson"
"29","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Fredericktown for Water Improvement Project",9e+05,"Balderson"
"30","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of McConnelsville for Sewer Line Project",9e+05,"Balderson"
"31","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Millersburg for Waterline Project",4e+05,"Balderson"
"32","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Tuscarawas County for Water System Improvements",9e+05,"Balderson"
"33","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of Stockport for Water Treatment Plant Project",650000,"Balderson"
"34","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OH","Village of New Lexington for Waterline Project",650000,"Balderson"
"35","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Chauncey for Sewer System Replacement Project",6e+05,"Balderson"
"36","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Junction City for Wastewater Treatment Plant Upgrades",750000,"Balderson"
"37","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","City of Burlington for South End Wastewater Storage Project",1e+06,"Balint"
"38","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Town of Berlin for Wastewater Treatment Project",1092000,"Balint"
"39","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VT","Town of Highgate for Wastewater Discharge System Construction",750000,"Balint"
"40","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VT","Town of Troy for Waterline Replacement Project",1040000,"Balint"
"41","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Nicholas County for Water Improvements Project",1e+06,"Barr"
"42","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Clark County for Sanitary Sewer Improvements",1e+06,"Barr"
"43","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Winchester Municipal Utilities for Sanitary Sewer Project",1e+06,"Barr"
"44","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","City of Lancaster for Sanitary Sewer Extension Project",1e+06,"Barr"
"45","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Bourbon County for Water Tank Project",750000,"Barr"
"46","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of Republic for Water Tank Replacement Project",934965,"Baumgartner"
"47","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","City of College Place for Water Storage Project",1e+06,"Baumgartner"
"48","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Palouse for Wastewater Treatment Plant Improvements",1e+06,"Baumgartner"
"49","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WA","City of Ritzville for Sewer Collection System Improvement Project",750000,"Baumgartner"
"50","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WA","Town of Springdale for Storage Capacity Improvements",750000,"Baumgartner"
"51","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AK","City of Homer for Water Transmission Main Replacement Project",937868,"Begich"
"52","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CA","Carmichael Water District for Ranney Collector Well Screens Replacement Project",1092000,"Bera"
"53","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Sacramento County for Arden Service Area Water Supply Project",1092000,"Bera"
"54","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Grayling for Municipal Water Service Project",1750000,"Bergman"
"55","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Escanaba for Water Infrastructure Improvement Project",750000,"Bergman"
"56","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Escanaba for Water Main and Service Line Upgrade Project",750000,"Bergman"
"57","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Village of Beulah for Wastewater Treatment Improvements",1e+06,"Bergman"
"58","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Tawas City for Primary Transmission Main Project",1e+06,"Bergman"
"59","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Alexandria for Bellefonte Ave. Storm Drain Improvements",1092000,"Beyer"
"60","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Falls Church for Cavalier Trail Park Sewage Flow Equalization Basin",1092000,"Beyer"
"61","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Wewoka for Wastewater Treatment Facility Upgrade",2250000,"Bice"
"62","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Bethany for Wastewater System Repair Project",1280000,"Bice"
"63","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Konawa for Water Distribution Line Replacement Project",1500000,"Bice"
"64","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Yukon for Wastewater Facility Repairs and Upgrades",1640000,"Bice"
"65","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OK","City of Seminole for Wastewater Lift Station Upgrade",1250000,"Bice"
"66","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Piedmont for Water Distribution Line Replacement Project",1250000,"Bice"
"67","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OK","City of Spencer for Water Distribution Line Replacement Project",5e+05,"Bice"
"68","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Brooksville for Wastewater Treatment Improvement Project",1e+06,"Bilirakis"
"69","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","FL","Pasco County for Chlorine Booster Station Construction Project",750000,"Bilirakis"
"70","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Citrus County for Lift Station Improvements",750000,"Bilirakis"
"71","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Crystal River for Wastewater Treatment Plant Rehabilitation",750000,"Bilirakis"
"72","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hernando County for Centralized Sewer Transition Project",750000,"Bilirakis"
"73","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Attapulgus for Water Main Replacement",478420,"Bishop (GA)"
"74","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Blakely for Water System Improvements",960000,"Bishop (GA)"
"75","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","Lee County Board of Commissioners for Water Supply and Treatment Improvements",1092000,"Bishop (GA)"
"76","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Castle Rock Water for Water Supply Project",1750000,"Boebert"
"77","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Prairie View Ranch Water District for Water Infrastructure Consolidation Project",1750000,"Boebert"
"78","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Severance for Regional Water Treatment Plant and Transmission Line Project",1750000,"Boebert"
"79","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Lamar for Wastewater Treatment Plant Improvements Project",1e+06,"Boebert"
"80","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Louviers Water and Sanitation District for Drinking Water Distribution Project",1e+06,"Boebert"
"81","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Ovid for Water Treatment Plant Improvement Project",1e+06,"Boebert"
"82","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Kiowa for Well Redundancy Project",1e+06,"Boebert"
"83","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","City of Brush for Water Treatment Facility",1e+06,"Boebert"
"84","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","CO","City of Yuma for Water Infrastructure Improvements",750000,"Boebert"
"85","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CO","Town of Walsh for Water System Improvement Project",750000,"Boebert"
"86","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Hillsboro for Seismically Resilient Water Treatment Plant Project",1092000,"Bonamici"
"87","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of West Salem for Watermain Replacement Project",1200000,"Bost"
"88","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Maeystown for Wastewater Treatment Facility Improvements",1636000,"Bost"
"89","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Anna for Sewer Improvement Project",1e+06,"Bost"
"90","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Robinson Palestine Water Commission for New Water Treatment Plant",1e+06,"Bost"
"91","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Casey for Sanitary Sewer Relining",1e+06,"Bost"
"92","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Sparta for Raw Water Transmission Line Project",750000,"Bost"
"93","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Milford Borough for Sewer Extension Project",1250000,"Bresnahan"
"94","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Monroe County for Wastewater Treatment Project",1250000,"Bresnahan"
"95","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","PA","Dallas Area Municipal Authority for Wastewater Infrastructure Expansion Project",1e+06,"Bresnahan"
"96","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of University Heights for Manhole Separation Project",1092000,"Brown"
"97","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Cleveland Metroparks for Stormwater Project",1092000,"Brown"
"98","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Northeast Ohio Regional Sewer District for Big Creek West Branch Culvert Repair Project",1092000,"Brown"
"99","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","Calleguas Municipal Water District for Lake Bard Pump Station Project",1092000,"Brownley"
"100","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Oxnard for Cast Iron Pipe Replacement Project",1092000,"Brownley"
"101","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","CA","City of Santa Paula for Cross-Town Pipeline Project",1092000,"Brownley"
"102","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hillsborough County for Sewer Expansion",2e+06,"Buchanan"
"103","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","Hillsborough County for Aquifer Recharge Project",750000,"Buchanan"
"104","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Glen Carbon for Drinking Water Treatment Plant Installation",1092000,"Budzinski"
"105","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TN","Knoxville Utilities Board for Wastewater Treatment Plant",750000,"Burchett"
"106","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","Marion County for North Santiam Sewer Project",1092000,"Bynum"
"107","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OR","Oak Lodge Water Services Authority for Clarifier Replacement Project",1092000,"Bynum"
"108","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Bend for Drinking Water Protection Project",992250,"Bynum"
"109","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Halsey for Municipal Water Well and Water Treatment Project",7e+05,"Bynum"
"110","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Molalla for Water Intake Project",1092000,"Bynum"
"111","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","OR","City of Oregon City for Water Transmission Main Project Phase 3",1092000,"Bynum"
"112","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Village of Jeffersonville for Wastewater Infrastructure Improvements",1936000,"Carey"
"113","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Columbus for Wastewater Treatment Improvement Project",750000,"Carey"
"114","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IN","City of Indianapolis for Lead Service Line Replacement Program",1092000,"Carson"
"115","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of Port Wentworth for Water Infrastructure Improvements",1750000,"Carter (GA)"
"116","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Rincon for Waterline Extension Project",1e+06,"Carter (GA)"
"117","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Kenner for Wastewater Treatment Plant Stabilization and Improvement Project",1092000,"Carter (LA)"
"118","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","City of Westwego for Wastewater Treatment Plant Modernization Project",1092000,"Carter (LA)"
"119","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","LA","St. Bernard Parish for Culvert Drainage Improvements Project",1092000,"Carter (LA)"
"120","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of Georgetown for Waterline Upgrade Project",3500000,"Carter (TX)"
