"","Agency","Account","State","Project","Amount","Requestor"
"1","Bureau of Indian Affairs","Operation of Indian Programs","AK","Cook Inlet Tribal Council for Commission on Native Children Rec- ommendation Dissemination.","$500,000","Murkowski"
"2","Bureau of Indian Affairs","Operation of Indian Programs","AK","Robert Aqqaluk Newlin Sr Memorial Trust for Uqapiaqta Inupiatun Adult Fluency Program.","241,000","Murkowski"
"3","Bureau of Indian Affairs","Operation of Indian Programs","MN","North American Traditional Indigenous Food Systems for Minnesota Native American Economic Empowerment.","2,000,000","Klobuchar, Smith"
"4","Bureau of Indian Affairs","Operation of Indian Programs","NM","Eight Northern Indian Pueblos Council for Caja del Rio Ethno- graphic Study.","500,000","Heinrich"
"5","Bureau of Indian Affairs","Operation of Indian Programs","WA","CRITFC for Columbia River In-Lieu/Treaty Fishing Access Site Con- struction.","5,250,000","Cantwell, Merkley, Murray, Wyden"
"6","Bureau of Land Management","Management of Lands and Resources","NM","Bureau of Land Management for Rio Grande del Norte Wildlife Habitat Restoration.","150,000","Heinrich"
"7","Bureau of Land Management","Management of Lands and Resources","OR","Bureau of Land Management for Panther Creek Trail Network Con- struction.","3,096,000","Merkley, Wyden"
"8","Environmental Protection Agency","Science and Technology-Research: National priorities","DE","STRIDE Center for PFAS Solutions for Monitoring PFAS and Other Emerging Contaminants.","400,000","Coons 161"
"9","Environmental Protection Agency","Science and Technology-Research: National priorities","MA","Greater Boston Physicians for Social Responsibility for Toxic Expo- sure Assessment.","700,000","Markey, Warren"
"10","Environmental Protection Agency","Science and Technology-Research: National priorities","MD","Chesapeake Bay Trust for Translating Science from the Pooled Monitoring Research Program.","178,000","Alsobrooks, Van Hollen"
"11","Environmental Protection Agency","Science and Technology-Research: National priorities","OR","Oregon Water Resources Department for Well Inspection and Con- struction of Monitoring Wells.","2,000,000","Merkley, Wyden"
"12","Environmental Protection Agency","Science and Technology-Research: National priorities","SC","Clemson University for technology development for the destruction of forever chemicals.","3,000,000","Graham"
"13","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","City and Borough of Sitka for a Wastewater Effluent Disinfection Treatment System.","10,000,000","Murkowski"
"14","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","City and Borough of Wrangell for Wastewater Treatment Plant Up- grades.","10,000,000","Murkowski"
"15","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","City and Borough of Yakutat for Forest Highway Subdivision Water and Sewer Extension.","1,504,000","Murkowski"
"16","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","City of Hoonah for Icy Strait Point Force Main Sewer Project","5,121,000","Murkowski"
"17","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","City of Ketchikan for Charcoal Point Wastewater Treatment Plant Upgrades.","6,000,000","Murkowski"
"18","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","City of Whittier for Wastewater Infrastructure Improvements","1,590,000","Murkowski"
"19","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AK","Petersburg Borough for Wastewater Treatment Facility Upgrades","8,000,000","Murkowski"
"20","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AL","City of Bayou La Batre for Wastewater System Improvements","1,970,000","Britt"
"21","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AL","City of Gadsden for Drainage Infrastructure","2,500,000","Britt"
"22","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AR","City of Blytheville for Wastewater System Improvements","5,000,000","Boozman"
"23","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AR","City of Conway for Tucker Creek Equalization Storage Facility","4,775,000","Boozman"
"24","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AR","City of Des Arc for Wastewater Infrastructure Improvements","869,000","Boozman"
"25","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AR","City of Hardy for Wastewater Treatment Facility Center","1,072,000","Boozman"
"26","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AR","City of Lewisville for Water Improvements","3,840,000","Boozman"
"27","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AR","Little Rock Water Reclamation Authority for Port of Little Rock Water Expansion.","10,000,000","Boozman"
"28","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AZ","Colorado River Sewage System Joint Venture for Wastewater Treat- ment Facility Replacement.","2,000,000","Gallego, Kelly"
"29","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","AZ","Tri City Regional Sanitary District for Sewer Upgrades","2,850,000","Gallego, Kelly"
"30","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CA","City of Bakersfield for South MLK Sewer Project","1,500,000","Padilla"
"31","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CA","County of Sutter for Robbins Wastewater Treatment Plant Back Up Generator.","400,000","Schiff"
"32","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CA","County of Tulare for Goshen Sewer Study","750,000","Padilla"
"33","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CA","The Inland Empire Utilities Agency for Cybersecurity Program Im- provements Project.","1,180,000","Schiff"
"34","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CA","Valley Sanitary District for Recycled Water Project","1,920,000","Schiff"
"35","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CO","City of Brush for Wastewater Treatment Facility Upgrades","2,110,000","Bennet,"
"36",NA,NA,NA,NA,NA,"Hickenlooper"
"37","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CO","City of Evans for Stormwater Project","500,000","Bennet, Hickenlooper"
"38","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CO","Town of Cokedale for Waste Water Treatment improvements","2,000,000","Bennet, Hickenlooper"
"39","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CO","Town of Silverton for Augmentation Ponds","2,366,000","Bennet, Hickenlooper"
"40","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CO","Ute Mountain Ute Tribe for Water Transmission","1,700,000","Bennet, Hickenlooper"
"41","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Borough of Jewett City Department of Public Utilities for Waste- water Project.","826,000","Blumenthal, Mur- phy"
"42","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","City of Torrington for Toro Field Siphon Abandonment and Sewer Replacement.","2,000,000","Blumenthal, Mur- phy"
"43","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Naugatuck Valley Council of Governments for Sewer Siphon Reloca- tion Associated with Kinneytown Dam Removal.","1,404,000","Blumenthal, Mur- phy"
"44","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Norwich Public Utilities for North Main Street Wastewater System Upgrade Project.","960,000","Blumenthal, Mur- phy"
"45","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Town of Clinton for Design of Downtown Wastewater Collection Sys- tem and Treatment Facility.","500,000","Blumenthal, Mur- phy"
"46","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Town of Ellington Water Pollution Control Authority for Sewer Main Replacement.","975,000","Blumenthal, Mur- phy"
"47","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Town of Fairfield for Sewer Upgrade","900,000","Blumenthal, Mur- phy"
"48","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","CT","Town of Winchester for Southern Sewer Network Expansion","635,000","Blumenthal, Mur- phy"
"49","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","DE","City of Dover for Meeting House Branch Soil Remediation","1,400,000","Blunt Rochester"
"50","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","DE","City of Seaford for Wastewater Treatment Facility Upgrade and Ex- pansion.","2,300,000","Blunt Rochester, Coons"
"51","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","DE","City of Wilmington for Wastewater Treatment Facility Upgrades","2,800,000","Blunt Rochester, Coons"
"52","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","DE","Kent County Levy Court for Replacement of Wastewater Main Pipe","2,600,000","Blunt Rochester, Coons"
"53","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of Barnesville for Wastewater Collection System Improvement","2,000,000","Ossoff, Warnock"
"54","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of Arcade for Sewage Treatment Plant Improvements","1,000,000","Ossoff, Warnock"
"55","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of Cordele for Lift Station Improvements","250,000","Ossoff"
"56","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of Hampton for Stormwater Improvements","954,000","Ossoff"
"57","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of Moultrie for SE Business Park Water and Sewer Extension","685,000","Warnock 163"
"58","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of South Fulton for Stormwater Improvements","810,000","Ossoff, Warnock"
"59","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","GA","City of Waynesboro for Sanitary Sewer Improvements","1,000,000","Ossoff"
"60","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","IL","City of Carbondale for Stormwater and Flooding Mitigation Project","1,500,000","Duckworth, Durbin"
"61","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","IL","Village of Park Forest for Water Main Improvements","1,450,000","Duckworth, Durbin"
"62","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","IN","City of Clinton for Combined Sewer Overflows Control Plan","2,000,000","Young"
"63","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","IN","City of Gary for Storm Sewer Project","2,000,000","Young"
"64","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","IN","Greene County for Water and Wastewater Infrastructure","15,000,000","Young"
"65","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","KS","Riley County for Sewer District Upgrades","1,000,000","Moran"
"66","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","KY","Martin County for Wastewater Treatment Plant Rehabilitation","4,800,000","McConnell"
"67","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","LA","City of Kenner Sewer/Wastewater Treatment Plant Stabilization and Improvement Project.","7,000,000","Cassidy, Kennedy"
"68","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","LA","Monroe Sewer Lift Stations Rehabilitation Project","4,000,000","Kennedy"
"69","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","LA","North Lake Charles Water Rehabilitation Project","1,500,000","Cassidy, Kennedy"
"70","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MA","Barnstable County for Former Municipal Fire Training PFAS Remedi- ation Site.","3,000,000","Markey, Warren"
"71","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MA","City of Fall River for South Watuppa Pond Phosphorus Inactivation Project.","2,026,000","Markey, Warren"
"72","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MA","Town of Agawam for Downtown Stormwater Infrastructure Improve- ments.","1,971,000","Markey, Warren"
"73","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MA","Town of Wayland for Town Center Sewer Replacement and Expan- sion.","200,000","Markey, Warren"
"74","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MA","Tyngsborough Sewer Commission for Phalanx Street Pump Station Upgrade & Gravity Sewer Installation.","1,956,000","Markey, Warren"
"75","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MD","Canal Place Preservation and Development Authority for Sediment Testing and Remediation.","500,000","Alsobrooks, Van Hollen"
"76","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MD","City of Hagerstown for Stormwater Infrastructure Upgrades","1,000,000","Alsobrooks, Van Hollen"
"77","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MD","Easton Utilities for Windmill Pump Station Enhancement","2,868,000","Alsobrooks, Van Hollen"
"78","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MD","Town of Hurlock for Wastewater Treatment Plant","2,795,000","Alsobrooks, Van Hollen"
"79","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MD","Town of Smithsburg Water System Improvements","306,000","Alsobrooks, Van Hollen"
"80","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MD","Town of Trappe for Wastewater Treatment Plant Upgrades","1,149,000","Alsobrooks, Van Hollen 164"
"81","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Caribou Utilities District for Wastewater Infrastructure Improve- ments.","3,288,000","Collins"
"82","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","City of Bath for Pump Station and Sewer Line Improvements","560,000","King"
"83","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","City of Biddeford for Wastewater Infrastructure Improvements","6,000,000","Collins"
"84","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","City of Brewer for Drinking Water Infrastructure Improvements","1,576,000","Collins, King"
"85","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","City of Gardiner for Wastewater Infrastructure Improvements","1,422,000","Collins, King"
"86","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Clinton Water District for Wastewater Infrastructure Improvements","3,250,000","Collins, King"
"87","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Pleasant Point for Wastewater Infrastructure Improvements","5,000,000","Collins, King"
"88","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Richmond Utilities District for Wastewater Infrastructure Improve- ments.","2,500,000","Collins, King"
"89","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","South Berwick Sewer District for Wastewater Infrastructure Im- provements.","3,000,000","Collins, King"
"90","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Fort Kent for Water Infrastructure Improvements","3,500,000","Collins, King"
"91","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Frenchboro for Culvert Replacement","419,000","King"
"92","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Gorham for Wastewater Infrastructure Improvements","3,000,000","Collins"
"93","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Hampden for Pump Station and Sewer Main Improvements","1,735,000","King"
"94","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Machias for Wastewater Infrastructure Improvements","1,378,000","Collins, King"
"95","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of North Haven for Wastewater Infrastructure Improvements","4,000,000","Collins, King"
"96","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Old Orchard Beach for Wastewater Infrastructure Improve- ments.","1,000,000","Collins, King"
"97","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of Southwest Harbor for Wastewater Infrastructure Improve- ments.","780,000","Collins, King"
"98","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Town of St. Agatha for Wastewater System Upgrades","786,000","King"
"99","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Vassalboro Sanitary District for Wastewater Infrastructure Improve- ments.","386,000","Collins"
"100","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Veazie Sewer District for Wastewater Infrastructure Improvements","1,878,000","Collins"
"101","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","ME","Wells Sanitary District for Wastewater Infrastructure Improvements","3,000,000","Collins"
"102","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MI","Great Lakes Water Authority for Freud & Conners Creek Pump Sta- tion Rehabilitation.","1,000,000","Peters, Slotkin"
"103","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MI","Great Lakes Water Authority for Oakwood District Intercommunity Relief Sewer Modification.","1,000,000","Peters, Slotkin"
"104","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MI","Marquette County for K.I. Sawyer Wastewater Treatment Plant Dis- infection Upgrades.","1,370,000","Peters"
"105","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MN","City of Floodwood for Water Infrastructure Improvements","1,500,000","Klobuchar, Smith"
"106","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MN","City of Grand Marais for Wastewater Treatment Improvements","1,000,000","Klobuchar"
"107","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MN","City of Lamberton for Infrastructure Improvements","1,000,000","Klobuchar, Smith"
"108","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MN","City of Madison Lake for Sanitary and Water System Improvements","1,000,000","Klobuchar, Smith"
"109","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MN","City of Moorhead for Dewatering Project","2,000,000","Klobuchar, Smith"
"110","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MN","City of Sacred Heart for Infrastructure Improvements","1,000,000","Klobuchar, Smith"
"111","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MS","Cities of Clinton, Bolton, and Raymond for Regional Wastewater Improvements.","7,800,000","Hyde-Smith, Wicker 165"
"112","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MS","City of Natchez for Stormwater Infrastructure Improvements","1,178,000","Hyde-Smith"
"113","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MS","DCRUA Effluent Pump Station Project","2,500,000","Hyde-Smith, Wicker"
"114","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","MT","12th Street BNSF Railroad Sanitary Sewer Crossing Replacement Project.","825,000","Sheehy"
"115","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NE","City of Gothenburg Clean Water Utility Improvements","776,000","Fischer"
"116","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NE","Middle Niobrara Natural Resources District for Long Pine Creek and Bone Creek Watershed Improvements.","1,421,000","Fischer"
"117","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NE","Village of Greeley for Wastewater Improvements","2,372,000","Fischer"
"118","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NE","Village of Ong for Lagoon System Renovations","100,000","Fischer"
"119","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NE","Village of Shelby for Lagoon Improvements","600,000","Fischer"
"120","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NE","Village of Valparaiso for Sewer Rehabilitation","468,000","Fischer"
"121","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NJ","Borough of Swedesboro for Sanitary Sewer Pump Station","400,000","Booker"
"122","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NJ","City of Hoboken for North End Roadway Reconstruction Project","1,217,000","Booker, Kim"
"123","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NJ","County of Passaic for River Street Storm Water Management Project.","1,000,000","Booker"
"124","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NJ","Town of Morristown for Burnham Park Lower Pond Hydro-raking","500,000","Booker"
"125","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NM","Albuquerque Bernalillo County Water Utility Authority for Carnuel Wastewater System Improvements.","1,000,000","Heinrich"
"126","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NM","City of Rio Rancho for Aquifer Reinjection System","2,090,000","Heinrich, Luján"
"127","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NM","Village of Mosquero for Water Infrastructure Project","250,000","Luján"
"128","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NV","Baker Water and Sewer General Improvement District for Water In- frastructure Upgrades.","3,871,000","Cortez Masto, Rosen"
"129","Environmental Protection Agency","STAG-Clean water state revolving funds [SRF]","NV","City of Sparks for Water Reclamation Backup Power Systems","3,773,000","Cortez Masto, Rosen"
