"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Alabama",8719000,0.0177,"FY23","DWSRF",1103040899,19523823.9123,"STAG— Drinking Water State Revolving Fund",1800000,"AL",10519000,-9004823.9123,-0.461222348283267,"Negative"
"Alaska",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",8162000,"AK",13100000,2069591.01,0.187625954021855,"Positive"
"Arizona",8638000,0.0175,"FY23","DWSRF",1103040899,19303215.7325,"STAG— Drinking Water State Revolving Fund",14867361,"AZ",23505361,4202145.2675,0.217691462693702,"Positive"
"Arkansas",5912000,0.012,"FY23","DWSRF",1103040899,13236490.788,"STAG— Drinking Water State Revolving Fund",15050000,"AR",20962000,7725509.212,0.583652369478762,"Positive"
"California",53272000,0.1079,"FY23","DWSRF",1103040899,119018113.0021,"STAG— Drinking Water State Revolving Fund",74512099,"CA",127784099,8765985.99790001,0.0736525372213332,"Positive"
"Colorado",8650000,0.0175,"FY23","DWSRF",1103040899,19303215.7325,"STAG— Drinking Water State Revolving Fund",13193600,"CO",21843600,2540384.2675,0.131604200186338,"Positive"
"Connecticut",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",7863000,"CT",12801000,1770591.01,0.16051907155983,"Positive"
"Delaware",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",1800000,"DE",6738000,-4292408.99,-0.389143230671812,"Negative"
"Florida",17820000,0.0361,"FY23","DWSRF",1103040899,39819776.4539,"STAG— Drinking Water State Revolving Fund",12692972,"FL",30512972,-9306804.4539,-0.233723171818271,"Negative"
"Georgia",13389000,0.0271,"FY23","DWSRF",1103040899,29892408.3629,"STAG— Drinking Water State Revolving Fund",6436000,"GA",19825000,-10067408.3629,-0.33678813164465,"Negative"
"Hawaii",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",2160000,"HI",7098000,-3932408.99,-0.356506181553654,"Negative"
"Idaho",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,NA,0,"ID",4938000,-6092408.99,-0.552328476262601,"Negative"
"Illinois",14985000,0.0303,"FY23","DWSRF",1103040899,33422139.2397,"STAG— Drinking Water State Revolving Fund",25470095,"IL",40455095,7032955.7603,0.210428055184032,"Positive"
"Indiana",8473000,0.0172,"FY23","DWSRF",1103040899,18972303.4628,NA,0,"IN",8473000,-10499303.4628,-0.553401619544329,"Negative"
"Iowa",7424000,0.015,"FY23","DWSRF",1103040899,16545613.485,NA,0,"IA",7424000,-9121613.485,-0.551301013605178,"Negative"
"Kansas",5507000,0.0112,"FY23","DWSRF",1103040899,12354058.0688,"STAG— Drinking Water State Revolving Fund",1e+07,"KS",15507000,3152941.9312,0.255215081039866,"Positive"
"Kentucky",6012000,0.0122,"FY23","DWSRF",1103040899,13457098.9678,"STAG— Drinking Water State Revolving Fund",11328000,"KY",17340000,3882901.0322,0.288539234309784,"Positive"
"Louisiana",6741000,0.0137,"FY23","DWSRF",1103040899,15111660.3163,"STAG— Drinking Water State Revolving Fund",4430000,"LA",11171000,-3940660.3163,-0.260769513992414,"Negative"
"Maine",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",6084000,"ME",11022000,-8408.99000000022,-0.000762346165733626,"Negative"
"Maryland",10260000,0.0208,"FY23","DWSRF",1103040899,22943250.6992,"STAG— Drinking Water State Revolving Fund",5845000,"MD",16105000,-6838250.6992,-0.298050646303509,"Negative"
"Massachusetts",10602000,0.0215,"FY23","DWSRF",1103040899,23715379.3285,"STAG— Drinking Water State Revolving Fund",14600894,"MA",25202894,1487514.6715,0.0627236297128243,"Positive"
"Michigan",11267000,0.0228,"FY23","DWSRF",1103040899,25149332.4972,"STAG— Drinking Water State Revolving Fund",25796772,"MI",37063772,11914439.5028,0.473747742773153,"Positive"
"Minnesota",7470000,0.0151,"FY23","DWSRF",1103040899,16655917.5749,"STAG— Drinking Water State Revolving Fund",17572972,"MN",25042972,8387054.4251,0.503548026542774,"Positive"
"Mississippi",6184000,0.0125,"FY23","DWSRF",1103040899,13788011.2375,"STAG— Drinking Water State Revolving Fund",18626424,"MS",24810424,11022412.7625,0.799420059400717,"Positive"
"Missouri",8039000,0.0163,"FY23","DWSRF",1103040899,17979566.6537,"STAG— Drinking Water State Revolving Fund",22240000,"MO",30279000,12299433.3463,0.684078408740119,"Positive"
"Montana",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,NA,0,"MT",4938000,-6092408.99,-0.552328476262601,"Negative"
"Nebraska",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,NA,0,"NE",4938000,-6092408.99,-0.552328476262601,"Negative"
