State,20-Year Change in Funding,20-Year Net Impact,Loss-to-Gain Ratio
AK,$506.3 million,$365.7 million,0.72:1
ME,$547.8 million,$277.7 million,0.51:1
MS,$346.4 million,$139.4 million,0.4:1
NV,$256.9 million,$107.2 million,0.42:1
SD,$146.9 million,$48.8 million,0.33:1
NM,$123.5 million,$38.2 million,0.31:1
WV,$209.6 million,$33.8 million,0.16:1
AR,$145.5 million,$29.9 million,0.21:1
DE,$82.1 million,$18.9 million,0.23:1
SC,$164.2 million,$16 million,0.1:1
OR,$164.4 million,$13.8 million,0.08:1
RI,$100.3 million,$8.7 million,0.09:1
OK,$92.1 million,$-3.9 million,0.04:1
UT,$42.9 million,$-6.4 million,0.15:1
GA,$195.4 million,$-8.5 million,0.04:1
WA,$186.3 million,$-10.5 million,0.06:1
ID,$30.1 million,$-16.8 million,0.56:1
KS,$81.7 million,$-17.9 million,0.22:1
AZ,$49.1 million,$-22.7 million,0.46:1
NE,$20 million,$-24.8 million,1.24:1
FL,$280.8 million,$-38.4 million,0.14:1
VT,$-20.3 million,$-40.7 million,2:1
KY,$61.8 million,$-47.4 million,0.77:1
HI,$-36.2 million,$-69 million,1.91:1
AL,$13.9 million,$-74.7 million,5.38:1
ND,$-77.3 million,$-77.3 million,1:1
WY,$-77.3 million,$-77.3 million,1:1
MT,$-77.3 million,$-77.3 million,1:1
NH,$-25.4 million,$-84.6 million,3.33:1
CT,$-3.5 million,$-86.4 million,25:1
CO,$-62.2 million,$-88.8 million,1.43:1
NC,$37.6 million,$-96.1 million,2.55:1
LA,$-45.8 million,$-101.5 million,2.22:1
MN,$17.4 million,$-110.6 million,6.34:1
IA,$-120.5 million,$-162.7 million,1.35:1
VA,$-111.2 million,$-198.8 million,1.79:1
TN,$-180.1 million,$-200.7 million,1.11:1
MD,$-146.7 million,$-239.4 million,1.63:1
MA,$-144.9 million,$-307.8 million,2.12:1
NJ,$-95.2 million,$-316.8 million,3.33:1
MO,$-252.3 million,$-328 million,1.3:1
MI,$-75.5 million,$-343 million,4.54:1
WI,$-301.8 million,$-356.9 million,1.18:1
TX,$-89.1 million,$-360.1 million,4.04:1
IN,$-361.3 million,$-369.8 million,1.02:1
PA,$-192.6 million,$-372.3 million,1.93:1
CA,$103.3 million,$-418.1 million,4.05:1
OH,$-128.7 million,$-465.3 million,3.62:1
IL,$-310.7 million,$-485.6 million,1.56:1
NY,$-645.9 million,$-1113.5 million,1.72:1
