"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"NY",0,766643313.333333,12207688927.3631,11856981247.8464,3251317145.26316,2798025413.5843,766643313.333333,350707679.516672,-453291731.678859,-803999411.195531,-453291731.678859,-803999411.195531,0,-453291731.678859,"Negative Net Impact"
"IL",0,281837186.666667,7997495025.33646,7865845329.82116,1165998377.89474,947959508.076186,281837186.666667,131649695.515303,-218038869.818551,-349688565.333853,-218038869.818551,-349688565.333853,0,-218038869.818551,"Negative Net Impact"
"OH",0,531929493.333333,13485459913.5328,13233489761.6155,1882263685.26316,1791981134.51176,531929493.333333,251970151.917309,-90282550.7514014,-342252702.66871,-90282550.7514014,-342252702.66871,0,-90282550.7514014,"Negative Net Impact"
"CA",0,862988800,13910600418.0389,13518163737.5953,1946579569.47369,2019094398.0347,862988800,392436680.443552,72514828.561012,-319921851.88254,72514828.561012,-319921851.88254,72514828.561012,0,"Negative Net Impact"
"PA",0,302630420,3672602469.41997,3537168029.40327,1183052163.15789,1047875269.68763,302630420,135434440.016703,-135176893.470267,-270611333.48697,-135176893.470267,-270611333.48697,0,-135176893.470267,"Negative Net Impact"
"TX",0,442625653.333333,7481023466.03806,7276843546.36616,1429493213.68421,1366948134.60109,442625653.333333,204179919.671906,-62545079.0831225,-266724998.755028,-62545079.0831225,-266724998.755028,0,-62545079.0831225,"Negative Net Impact"
"IN",0,12796693.3333333,6999755805.34391,6993393424.47223,736900754.736842,483330386.260861,12796693.3333333,6362380.87168312,-253570368.475981,-259932749.347665,-253570368.475981,-259932749.347665,0,-253570368.475981,"Negative Net Impact"
"MI",0,422242400,5615151037.51089,5413964804.02805,1137359547.36842,1084362139.50538,422242400,201186233.482837,-52997407.8630369,-254183641.345874,-52997407.8630369,-254183641.345874,0,-52997407.8630369,"Negative Net Impact"
"WI",0,87020140,3559195028.80845,3517799484.71684,845341550.526316,633563570.233028,87020140,41395544.0916061,-211777980.293288,-253173524.384894,-211777980.293288,-253173524.384894,0,-211777980.293288,"Negative Net Impact"
"MO",0,129340180,3354757590.58804,3297936245.16126,908813535.789473,731755889.633458,129340180,56821345.426785,-177057646.156015,-233878991.5828,-177057646.156015,-233878991.5828,0,-177057646.156015,"Negative Net Impact"
"NJ",0,384830473.333333,6323072901.09866,6157727461.37632,1486089658.94737,1419268619.78959,384830473.333333,165345439.722343,-66821039.1577768,-232166478.88012,-66821039.1577768,-232166478.88012,0,-66821039.1577768,"Negative Net Impact"
"MA",0,273552193.333333,6304304161.29133,6181952657.14479,874126669.473684,772422210.681098,273552193.333333,122351504.146541,-101704458.792586,-224055962.939127,-101704458.792586,-224055962.939127,0,-101704458.792586,"Negative Net Impact"
"MD",0,164359813.333333,2904767396.56459,2835782964.8313,664388686.315789,561431620.612928,164359813.333333,68984431.7332959,-102957065.702862,-171941497.436157,-102957065.702862,-171941497.436157,0,-102957065.702862,"Negative Net Impact"
"VA",0,148160086.666667,3111517896.91435,3045401370.45814,611277152.631579,533241136.154739,148160086.666667,66116526.4562087,-78036016.47684,-144152542.933049,-78036016.47684,-144152542.933049,0,-78036016.47684,"Negative Net Impact"
"TN",0,34152000,1981032394.29033,1965675092.24622,454261345.263158,327855685.487123,34152000,15357302.0441151,-126405659.776035,-141762961.82015,-126405659.776035,-141762961.82015,0,-126405659.776035,"Negative Net Impact"
"IA",0,6.5e+07,4588527926.51549,4556773315.70094,413263614.736842,328679089.1293,6.5e+07,31754610.8145504,-84584525.6075419,-116339136.422092,-84584525.6075419,-116339136.422092,0,-84584525.6075419,"Negative Net Impact"
"MN",0,215384080,3060547663.66738,2964989624.45956,559954921.052631,572193197.224013,215384080,95558039.2078176,12238276.1713814,-83319763.0364362,12238276.1713814,-83319763.0364362,12238276.1713814,0,"Negative Net Impact"
"NC",0,225890713.333333,2630536423.87655,2529261536.87251,509874066.315789,536293237.888513,225890713.333333,101274887.004037,26419171.5727233,-74855715.4313141,26419171.5727233,-74855715.4313141,26419171.5727233,0,"Negative Net Impact"
"LA",0,89333333.3333333,1252655906.96056,1210213305.15235,339389894.736842,307226070.289936,89333333.3333333,42442601.8082075,-32163824.4469059,-74606426.2551134,-32163824.4469059,-74606426.2551134,0,-32163824.4469059,"Negative Net Impact"
"CT",0,132971733.333333,2360693693.92251,2298483015.59466,319339027.368421,316913326.173028,132971733.333333,62210678.3278489,-2425701.19539285,-64636379.5232418,-2425701.19539285,-64636379.5232418,0,-2425701.19539285,"Negative Net Impact"
"CO",0,44758346.6666667,1114822663.10017,1094667940.49525,239348318.947368,195697143.522208,44758346.6666667,20154722.604928,-43651175.4251603,-63805898.0300884,-43651175.4251603,-63805898.0300884,0,-43651175.4251603,"Negative Net Impact"
"NH",0,92600000,1045706250.13353,999791558.727787,246019801.052632,228165874.60044,92600000,45914691.405745,-17853926.4521912,-63768617.8579363,-17853926.4521912,-63768617.8579363,0,-17853926.4521912,"Negative Net Impact"
"AL",0,133333333.333333,1186070573.10378,1119144699.1285,333926965.263158,343667234.31574,133333333.333333,66925873.9752836,9740269.05258203,-57185604.9227016,9740269.05258203,-57185604.9227016,9740269.05258203,0,"Negative Net Impact"
"HI",0,60226666.6666667,1152460264.67658,1127703609.77169,209730133.684211,184355839.691643,60226666.6666667,24756654.9048841,-25374293.9925674,-50130948.8974515,-25374293.9925674,-50130948.8974515,0,-25374293.9925674,"Negative Net Impact"
"FL",0,570154940,4569480255.1208,4329208185.94854,942443931.578947,1139522242.545,570154940,240272069.172254,197078310.966057,-43193758.2061968,197078310.966057,-43193758.2061968,197078310.966057,0,"Negative Net Impact"
"KY",0,184058346.666667,1515040546.93597,1432908659.35336,331033110.526316,374419791.857043,184058346.666667,82131887.5826092,43386681.330727,-38745206.2518822,43386681.330727,-38745206.2518822,43386681.330727,0,"Negative Net Impact"
"VT",0,4e+07,233432654.021474,218132654.021474,130529263.157895,116269349.436646,4e+07,15300000,-14259913.7212482,-29559913.7212482,-14259913.7212482,-29559913.7212482,0,-14259913.7212482,"Negative Net Impact"
"NE",0,70601600,938484888.114825,904033221.508581,156094315.789474,170159011.000558,70601600,34451666.6062442,14064695.2110847,-20386971.3951595,14064695.2110847,-20386971.3951595,14064695.2110847,0,"Negative Net Impact"
"AZ",0,109145693.333333,1362329262.66795,1308712748.20283,177805744.210526,212295572.189298,109145693.333333,53616514.4651237,34489827.9787718,-19126686.4863519,34489827.9787718,-19126686.4863519,34489827.9787718,0,"Negative Net Impact"
"WA",0,322959980,2843606430.26074,2694926607.12792,496953572.631579,627706418.41552,322959980,148679823.132819,130752845.783941,-17926977.3488774,130752845.783941,-17926977.3488774,130752845.783941,0,"Negative Net Impact"
"KS",0,157125013.333333,1348541276.34325,1273908667.50058,269453165.263158,326818165.722263,157125013.333333,74632608.8426654,57365000.4591054,-17267608.3835601,57365000.4591054,-17267608.3835601,57365000.4591054,0,"Negative Net Impact"
"GA",0,324027313.333333,3229861159.33179,3076767497.33963,474395191.578947,611552104.923191,324027313.333333,153093661.992155,137156913.344243,-15936748.6479116,137156913.344243,-15936748.6479116,137156913.344243,0,"Negative Net Impact"
"ID",0,75403620,775364024.265666,739955589.116968,132564000,153707706.278752,75403620,35408435.1486979,21143706.2787519,-14264728.869946,21143706.2787519,-14264728.869946,21143706.2787519,0,"Negative Net Impact"
"UT",0,88333333.3333333,570884863.521359,533940036.566487,147199684.210526,177299176.040048,88333333.3333333,36944826.9548718,30099491.8295221,-6845335.12534967,30099491.8295221,-6845335.12534967,30099491.8295221,0,"Negative Net Impact"
"OK",0,153900000,2533502515.05644,2462066166.51536,232058421.052632,296661585.15368,153900000,71436348.5410814,64603164.1010488,-6833184.4400326,64603164.1010488,-6833184.4400326,64603164.1010488,0,"Negative Net Impact"
"OR",0,240216360,1350888682.74416,1236801285.29534,295689042.105263,411055261.14328,240216360,114087397.448825,115366219.038017,1278821.58919173,115366219.038017,1278821.58919173,115366219.038017,0,"Positive Net Impact"
"RI",0,144626873.333333,1645721911.00957,1577596997.74003,181982526.189474,252393394.201909,144626873.333333,68124913.2695465,70410868.0124349,2285954.74288836,70410868.0124349,2285954.74288836,70410868.0124349,0,"Positive Net Impact"
"SC",0,228420000,1621426968.68961,1509427372.67476,313514924.210526,428708068.929362,228420000,111999596.014857,115193144.718836,3193548.70397842,115193144.718836,3193548.70397842,115193144.718836,0,"Positive Net Impact"
"DE",0,111900000,620960154.864555,573504604.013051,132564000,190204086.278752,111900000,47455550.8515042,57640086.2787519,10184535.4272476,57640086.2787519,10184535.4272476,57640086.2787519,0,"Positive Net Impact"
"AR",0,174400000,1389901371.11045,1300877053.19198,204242631.578947,306340280.14372,174400000,89024317.9184713,102097648.564773,13073330.6463013,102097648.564773,13073330.6463013,102097648.564773,0,"Positive Net Impact"
"WV",0,319406666.666667,1026859046.49812,896787262.223667,423570253.684211,570677393.746623,319406666.666667,130071784.274455,147107140.062413,17035355.7879574,147107140.062413,17035355.7879574,147107140.062413,0,"Positive Net Impact"
"NM",0,140940053.333333,463314091.967403,398083081.91492,157987894.736842,244668034.348927,140940053.333333,65231010.0524835,86680139.6120851,21449129.5596016,86680139.6120851,21449129.5596016,86680139.6120851,0,"Positive Net Impact"
"SD",0,157333333.333333,1701917810.31413,1628623255.3786,132563894.736842,235637314.348927,157333333.333333,73294554.9355333,103073419.612085,29778864.6765517,103073419.612085,29778864.6765517,103073419.612085,0,"Positive Net Impact"
