State,20-Year Change in Funding,20-Year Net Impact,Loss-to-Gain Ratio
AK,$168.2 million,$53.8 million,0.32:1
OH,$179.5 million,$31.4 million,0.18:1
NE,$119.4 million,$27.3 million,0.23:1
UT,$95 million,$25 million,0.26:1
SC,$120.4 million,$22.7 million,0.19:1
ME,$81.7 million,$21.4 million,0.26:1
KY,$74.8 million,$5.6 million,0.08:1
MS,$81.9 million,$4.5 million,0.05:1
MN,$85.9 million,$3.8 million,0.04:1
AR,$53.1 million,$-13.3 million,0.25:1
LA,$57.1 million,$-17 million,0.3:1
MI,$96.5 million,$-19.1 million,0.2:1
AZ,$57.8 million,$-19.8 million,0.34:1
HI,$4.3 million,$-22.7 million,5.31:1
WV,$5.4 million,$-22.7 million,4.17:1
CO,$38.9 million,$-24.2 million,0.62:1
VA,$22.1 million,$-25.8 million,1.17:1
NM,$1.7 million,$-27.1 million,16.18:1
VT,$-5.4 million,$-28.9 million,5.33:1
OR,$23.5 million,$-31.7 million,1.35:1
NJ,$28.8 million,$-31.8 million,1.1:1
ID,$-8.8 million,$-34 million,3.88:1
NY,$195.3 million,$-35.7 million,0.18:1
CT,$-12.2 million,$-36.5 million,3:1
WI,$24.5 million,$-36.9 million,1.51:1
AL,$34.2 million,$-39.9 million,1.17:1
MA,$25 million,$-48 million,1.92:1
NV,$-32.9 million,$-49.3 million,1.5:1
IL,$76.5 million,$-49.8 million,0.65:1
OK,$-10.7 million,$-50.5 million,4.72:1
RI,$-42.8 million,$-52.8 million,1.23:1
NH,$-48.8 million,$-55.8 million,1.14:1
TN,$-19 million,$-57 million,3:1
KS,$-43.4 million,$-57.7 million,1.33:1
WY,$-63.8 million,$-63.8 million,1:1
SD,$-63.8 million,$-63.8 million,1:1
DE,$-63.8 million,$-63.8 million,1:1
ND,$-63.8 million,$-63.8 million,1:1
MT,$-63.8 million,$-63.8 million,1:1
IA,$-40.1 million,$-66.2 million,1.65:1
WA,$-13.1 million,$-71.1 million,5.43:1
PA,$16.5 million,$-89.5 million,5.44:1
MD,$-65 million,$-93.4 million,1.44:1
MO,$-94.3 million,$-98.6 million,1.05:1
IN,$-100.7 million,$-105.5 million,1.05:1
GA,$-82.7 million,$-122.7 million,1.48:1
NC,$-99.5 million,$-134.4 million,1.35:1
FL,$-74.3 million,$-147 million,1.98:1
CA,$-137.2 million,$-390.4 million,2.85:1
TX,$-368.1 million,$-431 million,1.17:1
