State,20-Year Change in Funding,20-Year Net Impact,Loss-to-Gain Ratio
WV,$228.6 million,$94.7 million,0.41:1
NJ,$218.2 million,$48.3 million,0.22:1
AK,$179.5 million,$44.9 million,0.25:1
UT,$145.2 million,$37.5 million,0.26:1
OK,$211.7 million,$36.2 million,0.17:1
MS,$182.2 million,$34.6 million,0.19:1
MN,$161 million,$17.4 million,0.11:1
SC,$136.1 million,$7.3 million,0.05:1
KY,$108.2 million,$2 million,0.02:1
ME,$77.5 million,$1.6 million,0.02:1
AR,$124.1 million,$-3.7 million,0.03:1
OR,$130.3 million,$-3.7 million,0.03:1
MI,$204.7 million,$-6.9 million,0.03:1
AZ,$94.9 million,$-19.9 million,0.21:1
NV,$61.8 million,$-20.9 million,0.34:1
NE,$55.5 million,$-24.3 million,0.44:1
OH,$148.3 million,$-30.5 million,0.21:1
CO,$60.9 million,$-45 million,0.74:1
NY,$357.1 million,$-45 million,0.13:1
CT,$5.3 million,$-49.3 million,9.39:1
WI,$61.5 million,$-52.5 million,0.85:1
NM,$-17.7 million,$-58.6 million,3.31:1
VT,$-28 million,$-61.8 million,2.21:1
MO,$27.5 million,$-62.4 million,2.27:1
HI,$-33.3 million,$-64.9 million,1.95:1
VA,$0.6 million,$-67.5 million,120.91:1
KS,$-10.8 million,$-67.6 million,6.28:1
LA,$17.3 million,$-67.6 million,3.91:1
NH,$-42.9 million,$-75.2 million,1.75:1
IL,$139 million,$-78.5 million,0.57:1
RI,$-51 million,$-81.5 million,1.6:1
MA,$38.2 million,$-83.8 million,2.19:1
ID,$-66.2 million,$-88.4 million,1.33:1
DE,$-101.4 million,$-108.4 million,1.07:1
WA,$-0.9 million,$-111.8 million,124.42:1
TN,$-60.4 million,$-117 million,1.94:1
ND,$-118.5 million,$-118.5 million,1:1
WY,$-118.5 million,$-118.5 million,1:1
MT,$-118.5 million,$-118.5 million,1:1
SD,$-118.5 million,$-118.5 million,1:1
AL,$-52.6 million,$-126 million,2.4:1
IA,$-125.1 million,$-148.2 million,1.18:1
MD,$-126.5 million,$-173.7 million,1.37:1
IN,$-195 million,$-199.2 million,1.02:1
NC,$-168.1 million,$-234.6 million,1.4:1
GA,$-174.3 million,$-235.6 million,1.35:1
PA,$-127.4 million,$-241.5 million,1.9:1
FL,$-158.8 million,$-274.7 million,1.73:1
CA,$-46.9 million,$-571.4 million,12.18:1
TX,$-768.4 million,$-843.3 million,1.1:1
