"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"TX",0,175510267.5,2997113435.98989,2922221680.08099,2168298732.27273,1399870741.92413,175510267.5,74891755.9089017,-768427990.348601,-843319746.257503,-768427990.348601,-843319746.257503,0,-768427990.348601,"Negative Net Impact"
"CA",0,1231453678.5,4669572014.67684,4145071544.51209,2605704834.81818,2558773995.47798,1231453678.5,524500470.164747,-46930839.3402,-571431309.504947,-46930839.3402,-571431309.504947,0,-46930839.3402,"Negative Net Impact"
"FL",0,268930028,2074492931.21452,1958623352.48185,1176965501.81818,1018118315.78638,268930028,115869578.732672,-158847186.0318,-274716764.764472,-158847186.0318,-274716764.764472,0,-158847186.0318,"Negative Net Impact"
"PA",0,263601525.5,2023315625.28188,1909208863.83075,1121655992.27273,994219766.718728,263601525.5,114106761.451133,-127436225.554,-241542987.005132,-127436225.554,-241542987.005132,0,-127436225.554,"Negative Net Impact"
"GA",0,146573419.5,991620697.823426,930350095.537995,685772268.181818,511432769.392018,146573419.5,61270602.2854303,-174339498.7898,-235610101.07523,-174339498.7898,-235610101.07523,0,-174339498.7898,"Negative Net Impact"
"NC",0,159268792,1160672854.80089,1094145980.63252,858352673.5,690253891.8912,159268792,66526874.1683726,-168098781.6088,-234625655.777173,-168098781.6088,-234625655.777173,0,-168098781.6088,"Negative Net Impact"
"IN",0,9117644,2263944178.07215,2259754678.86919,559528481.636364,364507782.662764,9117644,4189499.20296574,-195020698.9736,-199210198.176566,-195020698.9736,-199210198.176566,0,-195020698.9736,"Negative Net Impact"
"MD",0,120138634,473709808.38963,426512701.873079,510093654.636364,383612327.365964,120138634,47197106.5165505,-126481327.2704,-173678433.78695,-126481327.2704,-173678433.78695,0,-126481327.2704,"Negative Net Impact"
"IA",0,52250000,1300083761.65477,1277002939.45096,446141689.363636,321006529.793636,52250000,23080822.2038124,-125135159.57,-148215981.773813,-125135159.57,-148215981.773813,0,-125135159.57,"Negative Net Impact"
"AL",0,157498144,873360998.615152,799987610.640941,527199045.454545,474617191.161946,157498144,73373387.9742104,-52581854.2925999,-125955242.26681,-52581854.2925999,-125955242.26681,0,-52581854.2925999,"Negative Net Impact"
"TN",0,138344928,400908000.374174,344291113.972899,402256600,341885309.2816,138344928,56616886.4012746,-60371290.7184001,-116988177.119675,-60371290.7184001,-116988177.119675,0,-60371290.7184001,"Negative Net Impact"
"WA",0,270406290,919957590.316577,809025840.600397,494749950.580454,493851126.970254,270406290,110931749.71618,-898823.610200107,-111830573.32638,-898823.610200107,-111830573.32638,0,-898823.610200107,"Negative Net Impact"
"DE",0,17100000,345370718.058283,338291429.580333,316641220.772727,215278614.392727,17100000,7079288.4779498,-101362606.38,-108441894.85795,-101362606.38,-108441894.85795,0,-101362606.38,"Negative Net Impact"
"ID",0,52250000,340470121.516879,318321682.50137,288907370.727273,222694764.347273,52250000,22148439.0155094,-66212606.38,-88361045.3955094,-66212606.38,-88361045.3955094,0,-66212606.38,"Negative Net Impact"
"MA",0,293155816.5,2650186242.52759,2528254704.25892,679157608.181818,717335245.964818,293155816.5,121931538.268672,38177637.783,-83753900.4856725,38177637.783,-83753900.4856725,38177637.783,0,"Negative Net Impact"
"RI",0,67450000,696995584.256961,666548171.038327,315554159.090909,264541552.710909,67450000,30447413.2186344,-51012606.3799998,-81460019.5986342,-51012606.3799998,-81460019.5986342,0,-51012606.3799998,"Negative Net Impact"
"IL",0,497491877,3744077801.55909,3526604636.60168,1143287456,1282246420.6686,497491877,217473164.957413,138958964.6686,-78514200.2888131,138958964.6686,-78514200.2888131,138958964.6686,0,"Negative Net Impact"
"NH",0,75553234,279010119.799816,246681732.247469,315900384.863636,272991012.483636,75553234,32328387.5523468,-42909372.3799999,-75237759.9323466,-42909372.3799999,-75237759.9323466,0,-42909372.3799999,"Negative Net Impact"
"LA",0,180006000,605656128.226631,520788658.204263,430819040.909091,448088285.168491,180006000,84867470.0223684,17269244.2593999,-67598225.7629685,17269244.2593999,-67598225.7629685,17269244.2593999,0,"Negative Net Impact"
"KS",0,122352932,1547499187.20251,1490681027.98811,371358531.409091,360597484.263491,122352932,56818159.2144096,-10761047.1456001,-67579206.3600097,-10761047.1456001,-67579206.3600097,0,-10761047.1456001,"Negative Net Impact"
"VA",0,167406549,455109444.868476,387001210.710929,495479256.227273,496037925.231472,167406549,68108234.1575475,558669.004199922,-67549565.1533476,558669.004199922,-67549565.1533476,558669.004199922,0,"Negative Net Impact"
"HI",0,85170369,421679123.515364,390025813.576652,311502666.454545,278210429.074545,85170369,31653309.9387122,-33292237.3800001,-64945547.3187123,-33292237.3800001,-64945547.3187123,0,-33292237.3800001,"Negative Net Impact"
"MO",0,220780000,297732227.771867,207865959.863305,576414659.090909,603916595.691509,220780000,89866267.9085626,27501936.6006002,-62364331.3079624,27501936.6006002,-62364331.3079624,27501936.6006002,0,"Negative Net Impact"
"VT",0,90440000,259767398.501187,225954929.795474,289314772.181818,261292165.801818,90440000,33812468.7057124,-28022606.3800001,-61835075.0857124,-28022606.3800001,-61835075.0857124,0,-28022606.3800001,"Negative Net Impact"
"NM",0,100790288,246352727.171685,205442244.856104,280754751.832273,263082433.452273,100790288,40910482.3155802,-17672318.3799999,-58582800.69558,-17672318.3799999,-58582800.69558,0,-17672318.3799999,"Negative Net Impact"
"WI",0,263838522,991411855.675681,877402278.981031,645516868.863636,706981078.953836,263838522,114009576.69465,61464210.0902001,-52545366.60445,61464210.0902001,-52545366.60445,61464210.0902001,0,"Negative Net Impact"
"CT",0,123713835.5,459690775.543013,405120403.827562,318567386.363636,323818615.483636,123713835.5,54570371.7154507,5251229.12,-49319142.5954507,5251229.12,-49319142.5954507,5251229.12,0,"Negative Net Impact"
"NY",0,910273280,4371094058.03574,3968935337.81998,1677528234.81818,2034644508.02358,910273280,402158720.21576,357116273.2054,-45042447.0103598,357116273.2054,-45042447.0103598,357116273.2054,0,"Negative Net Impact"
"CO",0,268069708,813729468.482159,707813839.421406,564362700,625272471.835,268069708,105915629.060753,60909771.8349999,-45005857.2257527,60909771.8349999,-45005857.2257527,60909771.8349999,0,"Negative Net Impact"
"OH",0,416241787.5,4190140067.47255,4011260558.79833,1048524845.45454,1196872612.53574,416241787.5,178879508.674216,148347767.0812,-30531741.5930158,148347767.0812,-30531741.5930158,148347767.0812,0,"Negative Net Impact"
"NE",0,173989080,484766009.879108,404959764.174193,334912167.454545,390438641.074546,173989080,79806245.7049149,55526473.6200001,-24279772.0849149,55526473.6200001,-24279772.0849149,55526473.6200001,0,"Negative Net Impact"
"NV",0,185265580,344198770.114275,261546016.676956,288444285.454545,350214634.819345,185265580,82652753.4373191,61770349.3647999,-20882404.0725192,61770349.3647999,-20882404.0725192,61770349.3647999,0,"Negative Net Impact"
"AZ",0,302253149.5,272064756.790816,157307486.46846,225699408.318182,320574121.653182,302253149.5,114757270.322356,94874713.3350001,-19882556.9873554,94874713.3350001,-19882556.9873554,94874713.3350001,0,"Negative Net Impact"
"MI",0,474667842,1838942979.75206,1627372235.1417,952571505.772727,1157289765.22633,474667842,211570744.61036,204718259.453601,-6852485.15675986,204718259.453601,-6852485.15675986,204718259.453601,0,"Negative Net Impact"
"OR",0,307581500,470040897.802569,336056650.788572,319152413.636363,449424754.066364,307581500,133984247.013997,130272340.43,-3711906.58399707,130272340.43,-3711906.58399707,130272340.43,0,"Negative Net Impact"
"AR",0,266475000,1491502789.08031,1363771796.3307,499065751.5,623131023.844,266475000,127730992.749614,124065272.344,-3665720.40561378,124065272.344,-3665720.40561378,124065272.344,0,"Negative Net Impact"
"ME",0,195994500,284460432.713137,208516606.539219,242928318.136364,320460211.756364,195994500,75943826.1739183,77531893.62,1588067.44608161,77531893.62,1588067.44608161,77531893.62,0,"Positive Net Impact"
"KY",0,252966000,524166918.310128,417962449.903955,419592113.636364,527798323.852764,252966000,106204468.406173,108206210.2164,2001741.81022698,108206210.2164,2001741.81022698,108206210.2164,0,"Positive Net Impact"
"SC",0,284192500,597421576.033222,468666091.270438,361930400.636363,498028017.661364,284192500,128755484.762784,136097617.025,7342132.26221591,136097617.025,7342132.26221591,136097617.025,0,"Positive Net Impact"
"MN",0,339661831.5,1213225012.19312,1069559495.13932,548490790.909091,709516431.775291,339661831.5,143665517.053802,161025640.8662,17360123.8123977,161025640.8662,17360123.8123977,161025640.8662,0,"Positive Net Impact"
"MS",0,330110028,412593035.762675,264916779.180126,687825045.454545,870068190.479545,330110028,147676256.58255,182243145.025,34566888.4424501,182243145.025,34566888.4424501,182243145.025,0,"Positive Net Impact"
"OK",0,383118669.5,2406419605.01601,2230922606.37124,423655111.636363,635311276.885364,383118669.5,175496998.644767,211656165.249,36159166.6042333,211656165.249,36159166.6042333,211656165.249,0,"Positive Net Impact"
"UT",0,263667569.5,421345658.631614,313646836.244886,299905068.181818,445110031.301818,263667569.5,107698822.386728,145204963.12,37506140.7332721,145204963.12,37506140.7332721,145204963.12,0,"Positive Net Impact"
"AK",0,297939000,961442293.483317,826905100.089244,437496590.909091,616972984.529091,297939000,134537193.394073,179476393.62,44939200.2259274,179476393.62,44939200.2259274,179476393.62,0,"Positive Net Impact"
"NJ",0,429474033.5,2026554825.49763,1856704638.83854,754747859.363636,972909863.507236,429474033.5,169850186.659092,218162004.1436,48311817.4845078,218162004.1436,48311817.4845078,218162004.1436,0,"Positive Net Impact"
"WV",0,347048661,446446071.162008,312530023.709047,327685400,556271454.62,347048661,133916047.452961,228586054.62,94670007.167039,228586054.62,94670007.167039,228586054.62,0,"Positive Net Impact"
