"state","impact_type","impact_value"
"Alabama","Minimum Impact",-6889277.39150133
"Alabama","Maximum Impact",-27908433.8932923
"Alaska","Minimum Impact",-3806687.2605522
"Alaska","Maximum Impact",-15424735.3853088
"Arizona","Minimum Impact",-5774215.10061089
"Arizona","Maximum Impact",-23443474.0028686
"Arkansas","Minimum Impact",-4421677.57678063
"Arkansas","Maximum Impact",-17924853.9188425
"California","Minimum Impact",-42737856.5248673
"California","Maximum Impact",-173088018.241518
"Colorado","Minimum Impact",-6065877.27251327
"Colorado","Maximum Impact",-24609632.6904781
"Connecticut","Minimum Impact",-5304627.75182144
"Connecticut","Maximum Impact",-21416497.3503857
"Delaware","Minimum Impact",-3549516.27819418
"Delaware","Maximum Impact",-14396051.4558767
"Florida","Minimum Impact",-16650044.336748
"Florida","Maximum Impact",-67315178.5455829
"Georgia","Minimum Impact",-10477293.3201812
"Georgia","Maximum Impact",-42445431.7705256
"Hawaii","Minimum Impact",-4227488.43501246
"Hawaii","Maximum Impact",-17107940.0831499
"Idaho","Minimum Impact",-3549516.27819418
"Idaho","Maximum Impact",-14396051.4558767
"Illinois","Minimum Impact",-18000298.1420875
"Illinois","Maximum Impact",-72600152.6879429
"Indiana","Minimum Impact",-9858469.96766756
"Indiana","Maximum Impact",-39775272.3808022
"Iowa","Minimum Impact",-6790964.94300713
"Iowa","Maximum Impact",-27460134.2866785
"Kansas","Minimum Impact",-4830576.3867332
"Kansas","Maximum Impact",-19545026.2512048
"Kentucky","Minimum Impact",-5947737.16629227
"Kentucky","Maximum Impact",-24033023.0037511
"Louisiana","Minimum Impact",-5894892.98325665
"Louisiana","Maximum Impact",-23851801.7230736
"Maine","Minimum Impact",-4226441.04424446
"Maine","Maximum Impact",-17103750.5200778
"Maryland","Minimum Impact",-10729745.3812835
"Maryland","Maximum Impact",-43331267.1187821
"Massachusetts","Minimum Impact",-13232759.5777733
"Massachusetts","Maximum Impact",-53357336.4487581
"Michigan","Minimum Impact",-15692749.0742018
"Michigan","Maximum Impact",-63222069.1590753
"Minnesota","Minimum Impact",-7975230.90038741
"Minnesota","Maximum Impact",-32199338.4796307
"Mississippi","Minimum Impact",-5118042.02265347
"Mississippi","Maximum Impact",-20719173.5194889
"Missouri","Minimum Impact",-10505206.4731347
"Missouri","Maximum Impact",-42343955.1317916
"Montana","Minimum Impact",-3549516.27819418
"Montana","Maximum Impact",-14396051.4558767
"Nebraska","Minimum Impact",-3598763.03186749
"Nebraska","Maximum Impact",-14593038.47057
"Nevada","Minimum Impact",-3652493.72288218
"Nevada","Maximum Impact",-14816542.6883527
"New Hampshire","Minimum Impact",-4765058.89533979
"New Hampshire","Maximum Impact",-19258221.9244592
"New Jersey","Minimum Impact",-14010665.4822843
"New Jersey","Maximum Impact",-56396076.6198552
"New Mexico","Minimum Impact",-3549516.27819418
"New Mexico","Maximum Impact",-14396051.4558767
"New York","Minimum Impact",-37481754.2583097
"New York","Maximum Impact",-150851446.755516
"North Carolina","Minimum Impact",-10882966.4306495
"North Carolina","Maximum Impact",-44079216.0295539
"North Dakota","Minimum Impact",-3549516.27819418
"North Dakota","Maximum Impact",-14396051.4558767
"Ohio","Minimum Impact",-18832939.7069596
"Ohio","Maximum Impact",-75779580.9632444
"Oklahoma","Minimum Impact",-5368149.96755184
"Oklahoma","Maximum Impact",-21758982.5677023
"Oregon","Minimum Impact",-6254030.66077014
"Oregon","Maximum Impact",-25312237.1577305
"Pennsylvania","Minimum Impact",-17313153.5453645
"Pennsylvania","Maximum Impact",-69906194.1136879
"Puerto Rico","Minimum Impact",-4538194.85365491
"Puerto Rico","Maximum Impact",-18350765.7577196
"Rhode Island","Minimum Impact",-3981208.933653
"Rhode Island","Maximum Impact",-16122822.077712
"South Carolina","Minimum Impact",-5419386.52022179
"South Carolina","Maximum Impact",-21925061.5097621
"South Dakota","Minimum Impact",-3549636.27819418
"South Dakota","Maximum Impact",-14396541.4558767
"Tennessee","Minimum Impact",-7456201.64834071
"Tennessee","Maximum Impact",-30156737.6497708
"Texas","Minimum Impact",-29856475.6385743
"Texas","Maximum Impact",-121003332.208804
"Utah","Minimum Impact",-3635513.13183821
"Utah","Maximum Impact",-14740038.8704528
"Vermont","Minimum Impact",-3549516.27819418
"Vermont","Maximum Impact",-14396051.4558767
"Virginia","Minimum Impact",-8237741.44067578
"Virginia","Maximum Impact",-33229707.0064741
"Washington","Minimum Impact",-9598718.50086935
"Washington","Maximum Impact",-38848297.2291764
"West Virginia","Minimum Impact",-6102830.64499055
"West Virginia","Maximum Impact",-24609308.9230622
"Wisconsin","Minimum Impact",-10520533.7493825
"Wisconsin","Maximum Impact",-42420237.144231
"Wyoming","Minimum Impact",-3549516.27819418
"Wyoming","Maximum Impact",-14396051.4558767
