"state","total_difference","impact_type","label_millions"
"Texas",-128632801.295603,"Negative","-129M"
"Missouri",-55948452.9462866,"Negative","-56M"
"Pennsylvania",-55338316.8090448,"Negative","-55M"
"Indiana",-49861233.4740356,"Negative","-50M"
"New York",-44976603.1375567,"Negative","-45M"
"Wisconsin",-43117797.5598049,"Negative","-43M"
"Iowa",-38784159.1370713,"Negative","-39M"
"Tennessee",-35859395.3552471,"Negative","-36M"
"Maryland",-33968597.9398752,"Negative","-34M"
"North Dakota",-31535435.9199418,"Negative","-32M"
"Wyoming",-26785435.9199418,"Negative","-27M"
"Montana",-20585435.9199418,"Negative","-21M"
"New Hampshire",-17931890.0913979,"Negative","-18M"
"California",-17363699.4076928,"Negative","-17M"
"Hawaii",-11599855.4881246,"Negative","-12M"
"North Carolina",-10026915.1673748,"Negative","-10M"
"Ohio",-8740216.36147607,"Negative","-9M"
"South Dakota",-7936435.91994177,"Negative","-8M"
"Alabama",-5967757.3692733,"Negative","-6M"
"Virginia",-3407834.5313378,"Negative","-3M"
"Delaware",-2758435.91994177,"Negative","-3M"
"Vermont",-2533435.91994177,"Negative","-3M"
"Massachusetts",-2427237.02443265,"Negative","-2M"
"Idaho",-1724892.91994177,"Negative","-2M"
"Louisiana",2211665.96837347,"Positive","2M"
"Connecticut",2728270.34378564,"Positive","3M"
"Illinois",4884371.97098517,"Positive","5M"
"Rhode Island",6771081.52547006,"Positive","7M"
"Georgia",8029309.59420843,"Positive","8M"
"Colorado",9879315.28336729,"Positive","10M"
"New Mexico",14074076.0800582,"Positive","14M"
"Kansas",16933804.218108,"Positive","17M"
"Nebraska",19189976.5433251,"Positive","19M"
"Arizona",19435882.0023911,"Positive","19M"
"New Jersey",24559122.991517,"Positive","25M"
"Utah",30429768.5436179,"Positive","30M"
"Michigan",32757562.5033417,"Positive","33M"
"Florida",35897245.6043402,"Positive","36M"
"Washington",37911061.5052865,"Positive","38M"
"Kentucky",39002758.1087174,"Positive","39M"
"Oregon",41134687.6852986,"Positive","41M"
"South Carolina",46728443.3752821,"Positive","47M"
"Nevada",51487933.7076582,"Positive","51M"
"Oklahoma",54279435.2743816,"Positive","54M"
"Arkansas",58062096.4665937,"Positive","58M"
"West Virginia",59274858.4120946,"Positive","59M"
"Minnesota",59892477.5577459,"Positive","60M"
"Mississippi",60464112.3509654,"Positive","60M"
"Alaska",103624722.256478,"Positive","104M"
"Maine",123849387.419555,"Positive","124M"
