State,20-Year Change in Funding,20-Year Net Impact,Loss-to-Gain Ratio
AK,$532.9 million,$369.2 million,0.69:1
ME,$576.6 million,$299.6 million,0.52:1
MS,$364.6 million,$129.4 million,0.36:1
NV,$270.5 million,$101.1 million,0.37:1
SD,$154.6 million,$44.7 million,0.29:1
NM,$130 million,$32.2 million,0.25:1
WV,$220.7 million,$25.6 million,0.12:1
AR,$153.1 million,$19.6 million,0.13:1
DE,$86.5 million,$15.3 million,0.18:1
SC,$172.8 million,$4.8 million,0.03:1
RI,$105.6 million,$3.4 million,0.03:1
OR,$173 million,$1.9 million,0.01:1
OK,$96.9 million,$-10.2 million,0.11:1
UT,$45.1 million,$-10.3 million,0.23:1
ID,$31.7 million,$-21.4 million,0.67:1
GA,$205.7 million,$-23.9 million,0.12:1
KS,$86 million,$-25.9 million,0.3:1
WA,$196.1 million,$-26.9 million,0.14:1
AZ,$51.7 million,$-28.7 million,0.55:1
NE,$21.1 million,$-30.6 million,1.45:1
VT,$-21.4 million,$-44.3 million,2.07:1
KY,$65.1 million,$-58.1 million,0.89:1
FL,$295.6 million,$-64.8 million,0.22:1
HI,$-38.1 million,$-75.2 million,1.98:1
ND,$-81.4 million,$-81.4 million,1:1
MT,$-81.4 million,$-81.4 million,1:1
WY,$-81.4 million,$-81.4 million,1:1
AL,$14.6 million,$-85.8 million,5.87:1
NH,$-26.8 million,$-95.7 million,3.57:1
CO,$-65.5 million,$-95.7 million,1.46:1
CT,$-3.6 million,$-97 million,26.65:1
LA,$-48.2 million,$-111.9 million,2.32:1
NC,$39.6 million,$-112.3 million,2.83:1
MN,$18.4 million,$-125 million,6.81:1
IA,$-126.9 million,$-174.5 million,1.38:1
TN,$-189.6 million,$-212.6 million,1.12:1
VA,$-117.1 million,$-216.2 million,1.85:1
MD,$-154.4 million,$-257.9 million,1.67:1
MA,$-152.6 million,$-336.1 million,2.2:1
NJ,$-100.2 million,$-348.2 million,3.47:1
MO,$-265.6 million,$-350.8 million,1.32:1
WI,$-317.7 million,$-379.8 million,1.2:1
MI,$-79.5 million,$-381.3 million,4.8:1
IN,$-380.4 million,$-389.9 million,1.03:1
TX,$-93.8 million,$-400.1 million,4.26:1
PA,$-202.8 million,$-405.9 million,2:1
CA,$108.8 million,$-479.9 million,4.41:1
OH,$-135.4 million,$-513.4 million,3.79:1
IL,$-327.1 million,$-524.5 million,1.6:1
NY,$-679.9 million,$-1206 million,1.77:1
