"state","total_earmarks_Baseline","total_earmarks_With Earmarks","total_repayments_Baseline","total_repayments_With Earmarks","total_cap_grants_Baseline","total_cap_grants_With Earmarks","earmark_amount","repayment_loss_amount","net_funding_change","net_financial_impact","loss_start","loss_end","funding_change_positive","funding_change_negative","impact_type"
"NY",0,1149964970,11800515067.4229,11274453548.1479,3251317145.26316,2571379547.74486,1149964970,526061519.275011,-679937597.518295,-1205999116.79331,-679937597.518295,-1205999116.79331,0,-679937597.518295,"Negative Net Impact"
"IL",0,422755780,7687892427.68013,7490417884.40717,1165998377.89474,838940073.166911,422755780,197474543.272953,-327058304.727826,-524532848.000779,-327058304.727826,-524532848.000779,0,-327058304.727826,"Negative Net Impact"
"OH",0,797894240,13047967783.3478,12670012555.4718,1882263685.26316,1746839859.13605,797894240,377955227.875967,-135423826.127104,-513379054.003071,-135423826.127104,-513379054.003071,0,-135423826.127104,"Negative Net Impact"
"CA",0,1294483200,13299147570.805,12710492550.1397,1946579569.47369,2055351812.31521,1294483200,588655020.665327,108772242.841521,-479882777.823807,108772242.841521,-479882777.823807,108772242.841521,0,"Negative Net Impact"
"PA",0,453945630,3525359567.09185,3322207907.06679,1183052163.15789,980286822.952495,453945630,203151660.025057,-202765340.2054,-405917000.230457,-202765340.2054,-405917000.230457,0,-202765340.2054,"Negative Net Impact"
"TX",0,663938480,7128602663.39344,6822332783.88558,1429493213.68421,1335675595.05953,663938480,306269879.507858,-93817618.6246824,-400087498.132541,-93817618.6246824,-400087498.132541,0,-93817618.6246824,"Negative Net Impact"
"IN",0,19195040,6750564580.23756,6741021008.93004,736900754.736842,356545202.02287,19195040,9543571.30752468,-380355552.713972,-389899124.021497,-380355552.713972,-389899124.021497,0,-380355552.713972,"Negative Net Impact"
"MI",0,633363600,5448331081.43229,5146551731.20804,1137359547.36842,1057863435.57387,633363600,301779350.224253,-79496111.7945544,-381275462.018807,-79496111.7945544,-381275462.018807,0,-79496111.7945544,"Negative Net Impact"
"WI",0,130530210,3450958349.26945,3388865033.13204,845341550.526316,527674580.086383,130530210,62093316.1374121,-317666970.439933,-379760286.577345,-317666970.439933,-379760286.577345,0,-317666970.439933,"Negative Net Impact"
"MO",0,194010270,3303205897.61448,3217973879.4743,908813535.789473,643227066.555452,194010270,85232018.1401753,-265586469.234021,-350818487.374197,-265586469.234021,-350818487.374197,0,-265586469.234021,"Negative Net Impact"
"NJ",0,577245710,6123252062.41596,5875233902.83244,1486089658.94737,1385858100.2107,577245710,248018159.583514,-100231558.736664,-348249718.320178,-100231558.736664,-348249718.320178,0,-100231558.736664,"Negative Net Impact"
"MA",0,410328290,6036131445.7155,5852604189.49569,874126669.473684,721569981.284804,410328290,183527256.219804,-152556688.18888,-336083944.408684,-152556688.18888,-336083944.408684,0,-152556688.18888,"Negative Net Impact"
"MD",0,246539720,2784524432.60742,2681047785.00748,664388686.315789,509953087.761497,246539720,103476647.599945,-154435598.554292,-257912246.154237,-154435598.554292,-257912246.154237,0,-154435598.554292,"Negative Net Impact"
"VA",0,222240130,2955199855.99115,2856025066.30684,611277152.631579,494223127.916319,222240130,99174789.6843147,-117054024.71526,-216228814.399574,-117054024.71526,-216228814.399574,0,-117054024.71526,"Negative Net Impact"
"TN",0,51228000,1897820863.95749,1874784910.89131,454261345.263158,264652855.599105,51228000,23035953.0661726,-189608489.664053,-212644442.730226,-189608489.664053,-212644442.730226,0,-189608489.664053,"Negative Net Impact"
"IA",0,97500000,4424846078.25066,4377214162.02883,413263614.736842,286386826.32553,97500000,47631916.2218227,-126876788.411312,-174508704.633135,-126876788.411312,-174508704.633135,0,-126876788.411312,"Negative Net Impact"
"MN",0,323076120,2917479769.31925,2774142710.50752,559954921.052631,578312335.309703,323076120,143337058.811726,18357414.2570717,-124979644.554654,18357414.2570717,-124979644.554654,18357414.2570717,0,"Negative Net Impact"
"NC",0,338836070,2536883254.31502,2384970923.80896,509874066.315789,549502823.674873,338836070,151912330.506055,39628757.359084,-112283573.146971,39628757.359084,-112283573.146971,39628757.359084,0,"Negative Net Impact"
"LA",0,1.34e+08,1208343889.06016,1144679986.34785,339389894.736842,291144158.066483,1.34e+08,63663902.7123117,-48245736.6703588,-111909639.382671,-48245736.6703588,-111909639.382671,0,-48245736.6703588,"Negative Net Impact"
"CT",0,199457600,2261471546.29066,2168155528.79889,319339027.368421,315700475.575333,199457600,93316017.4917736,-3638551.79308856,-96954569.2848622,-3638551.79308856,-96954569.2848622,0,-3638551.79308856,"Negative Net Impact"
"CO",0,67137520,1062486053.41784,1032253969.51044,239348318.947368,173871555.809628,67137520,30232083.9073925,-65476763.1377405,-95708847.045133,-65476763.1377405,-95708847.045133,0,-65476763.1377405,"Negative Net Impact"
"NH",0,138900000,1002073177.47016,933201140.36154,246019801.052632,219238911.374345,138900000,68872037.1086175,-26780889.6782867,-95652926.7869042,-26780889.6782867,-95652926.7869042,0,-26780889.6782867,"Negative Net Impact"
"AL",0,2e+08,1133983221.90498,1033594410.94206,333926965.263158,348537368.842032,2e+08,100388810.962925,14610403.5788736,-85778407.3840519,14610403.5788736,-85778407.3840519,14610403.5788736,0,"Negative Net Impact"
"HI",0,90340000,1108136914.10867,1071001931.75134,209730133.684211,171668692.69536,90340000,37134982.3573267,-38061440.988851,-75196423.3461778,-38061440.988851,-75196423.3461778,0,-38061440.988851,"Negative Net Impact"
"FL",0,855232410,4380899233.73815,4020491129.97978,942443931.578947,1238061398.02803,855232410,360408103.758377,295617466.449085,-64790637.3092918,295617466.449085,-64790637.3092918,295617466.449085,0,"Negative Net Impact"
"KY",0,276087520,1439453897.12364,1316256065.74973,331033110.526316,396113132.522407,276087520,123197831.373913,65080021.9960909,-58117809.3778219,65080021.9960909,-58117809.3778219,65080021.9960909,0,"Negative Net Impact"
"VT",0,6e+07,225235867.243974,202285867.243974,130529263.157895,109139392.576022,6e+07,22950000,-21389870.5818723,-44339870.5818723,-21389870.5818723,-44339870.5818723,0,-21389870.5818723,"Negative Net Impact"
"NE",0,105902400,896166272.652365,844488772.742998,156094315.789474,177191358.606101,105902400,51677499.9093667,21097042.816627,-30580457.0927397,21097042.816627,-30580457.0927397,21097042.816627,0,"Negative Net Impact"
"AZ",0,163718540,1292404780.41969,1211980008.722,177805744.210526,229540486.178684,163718540,80424771.6976864,51734741.9681578,-28690029.7295287,51734741.9681578,-28690029.7295287,51734741.9681578,0,"Negative Net Impact"
"WA",0,484439970,2741971794.69619,2518952059.99697,496953572.631579,693082841.30749,484439970,223019734.699226,196129268.675911,-26890466.0233147,196129268.675911,-26890466.0233147,196129268.675911,0,"Negative Net Impact"
"KS",0,235687520,1326592975.06217,1214644061.79818,269453165.263158,355500665.951816,235687520,111948913.263997,86047500.688658,-25901412.5753393,86047500.688658,-25901412.5753393,86047500.688658,0,"Negative Net Impact"
"GA",0,486040970,3110095188.63286,2880454695.64463,474395191.578947,680130561.595313,486040970,229640492.988234,205735370.016365,-23905122.9718681,205735370.016365,-23905122.9718681,205735370.016365,0,"Negative Net Impact"
"ID",0,113105430,745993726.522707,692881073.79966,132564000,164279559.418128,113105430,53112652.7230467,31715559.4181278,-21397093.3049189,31715559.4181278,-21397093.3049189,31715559.4181278,0,"Negative Net Impact"
"UT",0,132500000,541919654.554913,486502414.122606,147199684.210526,192348921.954809,132500000,55417240.4323077,45149237.7442831,-10268002.6880245,45149237.7442831,-10268002.6880245,45149237.7442831,0,"Negative Net Impact"
"OK",0,230850000,2457496337.31213,2350341814.50051,232058421.052632,328963167.204205,230850000,107154522.811622,96904746.1515732,-10249776.6600489,96904746.1515732,-10249776.6600489,96904746.1515732,0,"Negative Net Impact"
"OR",0,360324540,1294749693.13103,1123618596.95779,295689042.105263,468738370.662288,360324540,171131096.173238,173049328.557024,1918232.38378668,173049328.557024,1918232.38378668,173049328.557024,0,"Positive Net Impact"
"RI",0,216940310,1580616968.5043,1478429598.59998,181982526.189474,287598828.208126,216940310,102187369.90432,105616302.018652,3428932.11433172,105616302.018652,3428932.11433172,105616302.018652,0,"Positive Net Impact"
"SC",0,342630000,1551405695.51211,1383406301.48982,313514924.210526,486304641.28878,342630000,167999394.022286,172789717.078254,4790323.05596775,172789717.078254,4790323.05596775,172789717.078254,0,"Positive Net Impact"
"DE",0,167850000,605658773.157485,534475446.880229,132564000,219024129.418128,167850000,71183326.277256,86460129.4181276,15276803.1408716,86460129.4181276,15276803.1408716,86460129.4181276,0,"Positive Net Impact"
"AR",0,261600000,1349237505.92552,1215701029.04781,204242631.578947,357389104.426106,261600000,133536476.877707,153146472.847159,19609995.9694522,153146472.847159,19609995.9694522,153146472.847159,0,"Positive Net Impact"
"WV",0,479110000,985746751.664088,790639075.252405,423570253.684211,644230963.77783,479110000,195107676.411683,220660710.093619,25553033.6819363,220660710.093619,25553033.6819363,220660710.093619,0,"Positive Net Impact"
"NM",0,211410080,445650800.198136,347804285.119411,157987894.736842,288008104.15497,211410080,97846515.078725,130020209.418128,32173694.3394027,130020209.418128,32173694.3394027,130020209.418128,0,"Positive Net Impact"
"SD",0,2.36e+08,1663472807.83241,1553530975.42911,132563894.736842,287174024.15497,2.36e+08,109941832.403301,154610129.418127,44668297.0148269,154610129.418127,44668297.0148269,154610129.418127,0,"Positive Net Impact"
"NV",0,351861090,486348262.20187,316951732.418575,132564000,403035219.418128,351861090,169396529.783296,270471219.418128,101074689.634832,270471219.418128,101074689.634832,270471219.418128,0,"Positive Net Impact"
"MS",0,513980000,824542812.869685,589369927.463097,277878006.315789,642489613.855181,513980000,235172885.406588,364611607.539391,129438722.132803,364611607.539391,129438722.132803,364611607.539391,0,"Positive Net Impact"
"ME",0,704949670,753717062.322859,476710670.12321,209956652.631579,786577607.624496,704949670,277006392.199649,576620954.992917,299614562.793268,576620954.992917,299614562.793268,576620954.992917,0,"Positive Net Impact"
"AK",0,632170000,343833865.950836,180084302.028378,159650736.842105,692598136.001074,632170000,163749563.922458,532947399.158969,369197835.236511,532947399.158969,369197835.236511,532947399.158969,0,"Positive Net Impact"
