"year","scenario","repayments"
2027,"Without_Earmarks",17699415.2568583
2028,"Without_Earmarks",19089958.1438029
2029,"Without_Earmarks",17708454.3435815
2030,"Without_Earmarks",18056561.3838147
2031,"Without_Earmarks",17702324.1942153
2032,"Without_Earmarks",17843985.5241417
2033,"Without_Earmarks",17181922.4288527
2034,"Without_Earmarks",17156261.8483129
2035,"Without_Earmarks",15447220.62219
2036,"Without_Earmarks",16121675.4540929
2037,"Without_Earmarks",14930821.9841157
2038,"Without_Earmarks",16001080.5718442
2039,"Without_Earmarks",15083942.883214
2040,"Without_Earmarks",16154201.4709425
2041,"Without_Earmarks",17038062.9997231
2042,"Without_Earmarks",17032734.712808
2043,"Without_Earmarks",17711537.7428595
2044,"Without_Earmarks",17706921.8548893
2045,"Without_Earmarks",18548261.971424
2046,"Without_Earmarks",19618520.5591525
2027,"With_Earmarks",17699415.2568583
2028,"With_Earmarks",19089958.1438029
2029,"With_Earmarks",17708454.3435815
2030,"With_Earmarks",16986302.7960862
2031,"With_Earmarks",15561807.0187583
2032,"With_Earmarks",14633209.7609563
2033,"With_Earmarks",12900888.0779387
2034,"With_Earmarks",11804968.9096705
2035,"With_Earmarks",9025669.09581913
2036,"With_Earmarks",8629865.33999351
2037,"With_Earmarks",6368753.28228787
2038,"With_Earmarks",6368753.28228787
2039,"With_Earmarks",4381357.00592914
2040,"With_Earmarks",4381357.00592914
2041,"With_Earmarks",4194959.94698132
2042,"With_Earmarks",3119373.0723377
2043,"With_Earmarks",2727917.51466077
2044,"With_Earmarks",1653043.03896202
2045,"With_Earmarks",1424124.56776827
2046,"With_Earmarks",1424124.56776827
