"year","scenario","repayments"
2027,"Without_Earmarks",54450266.8908054
2028,"Without_Earmarks",56235201.6705632
2029,"Without_Earmarks",53725284.9864647
2030,"Without_Earmarks",55210091.4479325
2031,"Without_Earmarks",55304211.2267838
2032,"Without_Earmarks",56400976.3497932
2033,"Without_Earmarks",55751651.774054
2034,"Without_Earmarks",57099883.0615029
2035,"Without_Earmarks",59235382.2798651
2036,"Without_Earmarks",59718688.7452791
2037,"Without_Earmarks",61498935.2660065
2038,"Without_Earmarks",59388192.3169051
2039,"Without_Earmarks",58226414.8265255
2040,"Without_Earmarks",57595179.829974
2041,"Without_Earmarks",58950165.6122152
2042,"Without_Earmarks",58469489.9720202
2043,"Without_Earmarks",56392099.8143991
2044,"Without_Earmarks",54885291.3734226
2045,"Without_Earmarks",53000018.5080874
2046,"Without_Earmarks",52445795.9523843
2027,"With_Earmarks",54450266.8908054
2028,"With_Earmarks",56235201.6705632
2029,"With_Earmarks",53725284.9864647
2030,"With_Earmarks",54553955.428567
2031,"With_Earmarks",53991939.1880527
2032,"With_Earmarks",54432568.2916966
2033,"With_Earmarks",53127107.6965919
2034,"With_Earmarks",53819202.9646753
2035,"With_Earmarks",55298566.1636719
2036,"With_Earmarks",55125736.6097205
2037,"With_Earmarks",56249847.1110823
2038,"With_Earmarks",53482968.1426153
2039,"With_Earmarks",51665054.6328703
2040,"With_Earmarks",50377683.6169532
2041,"With_Earmarks",51076533.3798289
2042,"With_Earmarks",49939721.7202684
2043,"With_Earmarks",47206195.5432817
2044,"With_Earmarks",45043251.0829397
2045,"With_Earmarks",42501842.1982389
2046,"With_Earmarks",41291483.6231703
