"year","scenario","repayments"
2027,"Without_Earmarks",59967856.7761896
2028,"Without_Earmarks",70059910.353654
2029,"Without_Earmarks",66437106.3207198
2030,"Without_Earmarks",68578390.8413138
2031,"Without_Earmarks",67939521.8202201
2032,"Without_Earmarks",68285545.1632868
2033,"Without_Earmarks",69542549.0185544
2034,"Without_Earmarks",71637085.9290872
2035,"Without_Earmarks",67890291.1771291
2036,"Without_Earmarks",65953508.4253015
2037,"Without_Earmarks",67595598.0925052
2038,"Without_Earmarks",69616583.7800758
2039,"Without_Earmarks",71556208.0260931
2040,"Without_Earmarks",68202729.9249597
2041,"Without_Earmarks",66567289.7838593
2042,"Without_Earmarks",68054088.4487972
2043,"Without_Earmarks",67339050.854012
2044,"Without_Earmarks",65397955.4793877
2045,"Without_Earmarks",65481178.2821865
2046,"Without_Earmarks",63135057.4281841
2027,"With_Earmarks",59967856.7761896
2028,"With_Earmarks",70059910.353654
2029,"With_Earmarks",66437106.3207198
2030,"With_Earmarks",67705603.4107406
2031,"With_Earmarks",66193946.9590736
2032,"With_Earmarks",65667182.8715671
2033,"With_Earmarks",66051399.2962614
2034,"With_Earmarks",67273148.7762209
2035,"With_Earmarks",62653566.5936897
2036,"With_Earmarks",59843996.4112888
2037,"With_Earmarks",60613298.6479192
2038,"With_Earmarks",61761496.9049165
2039,"With_Earmarks",62828333.7203607
2040,"With_Earmarks",58602068.188654
2041,"With_Earmarks",56093840.6169803
2042,"With_Earmarks",56707851.851345
2043,"With_Earmarks",55120026.8259866
2044,"With_Earmarks",52306144.020789
2045,"With_Earmarks",51516579.3930146
2046,"With_Earmarks",48297671.108439
