"year","scenario","repayments"
2027,"Without_Earmarks",86288142.1822099
2028,"Without_Earmarks",78197874.6349685
2029,"Without_Earmarks",74792522.5359282
2030,"Without_Earmarks",69735406.4812832
2031,"Without_Earmarks",60845110.995408
2032,"Without_Earmarks",51706113.4740443
2033,"Without_Earmarks",46165139.974557
2034,"Without_Earmarks",45474040.0130431
2035,"Without_Earmarks",49049381.2165704
2036,"Without_Earmarks",52427667.8553474
2037,"Without_Earmarks",56340376.53586
2038,"Without_Earmarks",60190829.661579
2039,"Without_Earmarks",60299882.5286842
2040,"Without_Earmarks",64151509.628927
2041,"Without_Earmarks",66451296.5046459
2042,"Without_Earmarks",70080935.7748554
2043,"Without_Earmarks",72851648.7327387
2044,"Without_Earmarks",75556651.001756
2045,"Without_Earmarks",75444378.087191
2046,"Without_Earmarks",76355872.6000937
2027,"With_Earmarks",86288142.1822099
2028,"With_Earmarks",78197874.6349685
2029,"With_Earmarks",74792522.5359282
2030,"With_Earmarks",69209754.378684
2031,"With_Earmarks",59793806.7902095
2032,"With_Earmarks",50129157.1662465
2033,"With_Earmarks",44062531.5641599
2034,"With_Earmarks",42845779.5000468
2035,"With_Earmarks",45895468.6009748
2036,"With_Earmarks",48748103.1371526
2037,"With_Earmarks",52135159.7150659
2038,"With_Earmarks",55459960.7381857
2039,"With_Earmarks",55043361.5026916
2040,"With_Earmarks",58369336.5003352
2041,"With_Earmarks",60143471.2734548
2042,"With_Earmarks",63247458.441065
2043,"With_Earmarks",65492519.2963491
2044,"With_Earmarks",67671869.4627672
2045,"With_Earmarks",67033944.4456029
2046,"With_Earmarks",67419786.8559063
