"year","scenario","repayments"
2027,"Without_Earmarks",640766194.50228
2028,"Without_Earmarks",674459691.964768
2029,"Without_Earmarks",649477607.069239
2030,"Without_Earmarks",654516299.784467
2031,"Without_Earmarks",666598247.477197
2032,"Without_Earmarks",672119752.825426
2033,"Without_Earmarks",677894337.101086
2034,"Without_Earmarks",695491017.19339
2035,"Without_Earmarks",690460683.682033
2036,"Without_Earmarks",710875448.234983
2037,"Without_Earmarks",720794670.675376
2038,"Without_Earmarks",709792475.366667
2039,"Without_Earmarks",689249975.089878
2040,"Without_Earmarks",639419566.747959
2041,"Without_Earmarks",633765839.241113
2042,"Without_Earmarks",651935171.28995
2043,"Without_Earmarks",651250149.125502
2044,"Without_Earmarks",674362289.13374
2045,"Without_Earmarks",592493597.792
2046,"Without_Earmarks",603424556.507955
2027,"With_Earmarks",640766194.50228
2028,"With_Earmarks",674459691.964768
2029,"With_Earmarks",649477607.069239
2030,"With_Earmarks",650668881.348745
2031,"With_Earmarks",658903410.605755
2032,"With_Earmarks",660577497.518263
2033,"With_Earmarks",662504663.358201
2034,"With_Earmarks",676253925.014784
2035,"With_Earmarks",667376173.067707
2036,"With_Earmarks",683943519.184935
2037,"With_Earmarks",690015323.189607
2038,"With_Earmarks",675165709.445177
2039,"With_Earmarks",650775790.732667
2040,"With_Earmarks",597097963.955028
2041,"With_Earmarks",587596818.01246
2042,"With_Earmarks",601918731.625577
2043,"With_Earmarks",597386291.025407
2044,"With_Earmarks",616651012.597924
2045,"With_Earmarks",530934902.820463
2046,"With_Earmarks",538018443.100697
