"year","scenario","repayments"
2027,"Without_Earmarks",54375788.470632
2028,"Without_Earmarks",52335888.4721648
2029,"Without_Earmarks",49238715.4375296
2030,"Without_Earmarks",48143755.1284532
2031,"Without_Earmarks",49881981.4821423
2032,"Without_Earmarks",52398608.281078
2033,"Without_Earmarks",48718700.0741712
2034,"Without_Earmarks",50249066.221584
2035,"Without_Earmarks",52022828.8780958
2036,"Without_Earmarks",54293660.3863888
2037,"Without_Earmarks",54997163.0041701
2038,"Without_Earmarks",54539004.9171703
2039,"Without_Earmarks",54843482.9234979
2040,"Without_Earmarks",54024369.5593388
2041,"Without_Earmarks",56284422.9426609
2042,"Without_Earmarks",54004835.3458712
2043,"Without_Earmarks",56973857.951866
2044,"Without_Earmarks",56744680.8081197
2045,"Without_Earmarks",54504363.6563887
2046,"Without_Earmarks",53910879.476514
2027,"With_Earmarks",54375788.470632
2028,"With_Earmarks",52335888.4721648
2029,"With_Earmarks",49238715.4375296
2030,"With_Earmarks",47946159.808797
2031,"With_Earmarks",49486790.84283
2032,"With_Earmarks",51805822.3221095
2033,"With_Earmarks",47928318.7955465
2034,"With_Earmarks",49261089.6233032
2035,"With_Earmarks",50837256.9601589
2036,"With_Earmarks",52910493.1487956
2037,"With_Earmarks",53416400.4469208
2038,"With_Earmarks",52760647.0402648
2039,"With_Earmarks",52867529.7269363
2040,"With_Earmarks",51850821.043121
2041,"With_Earmarks",53913279.106787
2042,"With_Earmarks",51436096.1903411
2043,"With_Earmarks",54207523.4766798
2044,"With_Earmarks",53780751.0132773
2045,"With_Earmarks",51342838.5418901
2046,"With_Earmarks",50551759.0423593
