"year","scenario","repayments"
2027,"Without_Earmarks",121527670.401237
2028,"Without_Earmarks",124717429.369813
2029,"Without_Earmarks",119674529.688652
2030,"Without_Earmarks",117177346.634198
2031,"Without_Earmarks",114949181.219196
2032,"Without_Earmarks",114938755.511519
2033,"Without_Earmarks",110133360.928168
2034,"Without_Earmarks",112513095.041734
2035,"Without_Earmarks",109406278.216349
2036,"Without_Earmarks",113099398.352255
2037,"Without_Earmarks",114183814.523129
2038,"Without_Earmarks",119988212.445664
2039,"Without_Earmarks",105933392.746931
2040,"Without_Earmarks",108095196.974787
2041,"Without_Earmarks",110330138.888789
2042,"Without_Earmarks",105923591.264757
2043,"Without_Earmarks",105161194.028904
2044,"Without_Earmarks",107643809.929318
2045,"Without_Earmarks",113001407.01574
2046,"Without_Earmarks",113073743.10952
2027,"With_Earmarks",121527670.401237
2028,"With_Earmarks",124717429.369813
2029,"With_Earmarks",119674529.688652
2030,"With_Earmarks",116567438.023141
2031,"With_Earmarks",113729363.997081
2032,"With_Earmarks",113109029.678347
2033,"With_Earmarks",107693726.483938
2034,"With_Earmarks",109463551.986448
2035,"With_Earmarks",105746826.550005
2036,"With_Earmarks",108830038.074854
2037,"With_Earmarks",109304545.63467
2038,"With_Earmarks",114499034.946148
2039,"With_Earmarks",99834306.6363581
2040,"With_Earmarks",101386202.253156
2041,"With_Earmarks",103011235.556101
2042,"With_Earmarks",97994779.3210115
2043,"With_Earmarks",96622473.4741013
2044,"With_Earmarks",98495180.7634574
2045,"With_Earmarks",103242869.238823
2046,"With_Earmarks",102705296.721545
