"year","scenario","repayments"
2027,"Without_Earmarks",27398149.0699023
2028,"Without_Earmarks",30141069.6516318
2029,"Without_Earmarks",29283067.486508
2030,"Without_Earmarks",30314188.1052078
2031,"Without_Earmarks",31117851.3765471
2032,"Without_Earmarks",31544810.3621521
2033,"Without_Earmarks",30411137.7176856
2034,"Without_Earmarks",30822804.936054
2035,"Without_Earmarks",31813898.3150596
2036,"Without_Earmarks",30560109.9152337
2037,"Without_Earmarks",31660108.9728491
2038,"Without_Earmarks",32373545.4650614
2039,"Without_Earmarks",32154958.5336509
2040,"Without_Earmarks",32840348.406142
2041,"Without_Earmarks",30389820.494292
2042,"Without_Earmarks",27974903.7959799
2043,"Without_Earmarks",28632997.0427642
2044,"Without_Earmarks",29113188.24882
2045,"Without_Earmarks",29017472.9767675
2046,"Without_Earmarks",28094342.2851756
2027,"With_Earmarks",27398149.0699023
2028,"With_Earmarks",30141069.6516318
2029,"With_Earmarks",29283067.486508
2030,"With_Earmarks",29848937.6066636
2031,"With_Earmarks",30187350.3794588
2032,"With_Earmarks",30149058.8665197
2033,"With_Earmarks",28550135.723509
2034,"With_Earmarks",28496552.4433333
2035,"With_Earmarks",29022395.3237947
2036,"With_Earmarks",27303356.4254246
2037,"With_Earmarks",27938104.9844959
2038,"With_Earmarks",28186290.978164
2039,"With_Earmarks",27502453.5482093
2040,"With_Earmarks",27722592.9221562
2041,"With_Earmarks",24806814.5117621
2042,"With_Earmarks",21926647.3149059
2043,"With_Earmarks",22119490.063146
2044,"With_Earmarks",22134430.7706577
2045,"With_Earmarks",21573465.000061
2046,"With_Earmarks",20185083.8099249
