"year","scenario","repayments"
2027,"Without_Earmarks",220953452.933756
2028,"Without_Earmarks",227101237.652169
2029,"Without_Earmarks",216414943.771012
2030,"Without_Earmarks",211876748.575184
2031,"Without_Earmarks",218652754.508268
2032,"Without_Earmarks",218589182.660194
2033,"Without_Earmarks",215579269.061111
2034,"Without_Earmarks",217419970.09193
2035,"Without_Earmarks",216826128.103614
2036,"Without_Earmarks",211936781.798131
2037,"Without_Earmarks",209503971.111629
2038,"Without_Earmarks",211774679.068765
2039,"Without_Earmarks",209711401.566016
2040,"Without_Earmarks",213424628.010333
2041,"Without_Earmarks",225172604.387753
2042,"Without_Earmarks",227112908.888949
2043,"Without_Earmarks",227569519.371667
2044,"Without_Earmarks",226951721.189839
2045,"Without_Earmarks",225508134.245977
2046,"Without_Earmarks",228819196.741858
2027,"With_Earmarks",220953452.933756
2028,"With_Earmarks",227101237.652169
2029,"With_Earmarks",216414943.771012
2030,"With_Earmarks",209521140.053887
2031,"With_Earmarks",213941537.465674
2032,"With_Earmarks",211522357.096304
2033,"With_Earmarks",206156834.975924
2034,"With_Earmarks",205641927.485447
2035,"With_Earmarks",202692476.975835
2036,"With_Earmarks",195447522.149055
2037,"With_Earmarks",190659102.941256
2038,"With_Earmarks",190574202.377096
2039,"With_Earmarks",186155316.35305
2040,"With_Earmarks",187512934.27607
2041,"With_Earmarks",196905302.132194
2042,"With_Earmarks",196489998.112093
2043,"With_Earmarks",194591000.073515
2044,"With_Earmarks",191617593.37039
2045,"With_Earmarks",187818397.905232
2046,"With_Earmarks",188773851.879816
