"year","scenario","repayments"
2027,"Without_Earmarks",158262688.135939
2028,"Without_Earmarks",161674959.840918
2029,"Without_Earmarks",157890715.503215
2030,"Without_Earmarks",157509002.401201
2031,"Without_Earmarks",155944054.834663
2032,"Without_Earmarks",154536513.012175
2033,"Without_Earmarks",152477359.670196
2034,"Without_Earmarks",151192598.159362
2035,"Without_Earmarks",151796214.768036
2036,"Without_Earmarks",156695298.401489
2037,"Without_Earmarks",156820348.579476
2038,"Without_Earmarks",159685466.186818
2039,"Without_Earmarks",159163387.857618
2040,"Without_Earmarks",162916882.970927
2041,"Without_Earmarks",159569006.621999
2042,"Without_Earmarks",156671424.025512
2043,"Without_Earmarks",158677208.59246
2044,"Without_Earmarks",151530060.614607
2045,"Without_Earmarks",148085473.054941
2046,"Without_Earmarks",138996525.401313
2027,"With_Earmarks",158262688.135939
2028,"With_Earmarks",161674959.840918
2029,"With_Earmarks",157890715.503215
2030,"With_Earmarks",156008084.146376
2031,"With_Earmarks",152942218.325013
2032,"With_Earmarks",150033758.247699
2033,"With_Earmarks",146473686.650896
2034,"With_Earmarks",143688006.885237
2035,"With_Earmarks",142790705.239085
2036,"With_Earmarks",146188870.617714
2037,"With_Earmarks",144813002.540875
2038,"With_Earmarks",146177201.893392
2039,"With_Earmarks",144154205.309367
2040,"With_Earmarks",146406782.167852
2041,"With_Earmarks",141557987.564098
2042,"With_Earmarks",137159486.712786
2043,"With_Earmarks",137664353.02491
2044,"With_Earmarks",129016286.792231
2045,"With_Earmarks",124070780.97774
2046,"With_Earmarks",113480915.069287
