"year","scenario","repayments"
2027,"Without_Earmarks",53486516.5326677
2028,"Without_Earmarks",57295874.3300332
2029,"Without_Earmarks",53748284.0500164
2030,"Without_Earmarks",51054510.8712823
2031,"Without_Earmarks",49958650.1416392
2032,"Without_Earmarks",51275267.2465415
2033,"Without_Earmarks",53023640.9098017
2034,"Without_Earmarks",55883943.5738868
2035,"Without_Earmarks",53740053.1316819
2036,"Without_Earmarks",56197549.6565587
2037,"Without_Earmarks",57223744.9744083
2038,"Without_Earmarks",56947851.6202436
2039,"Without_Earmarks",58322971.5101498
2040,"Without_Earmarks",59328719.4371479
2041,"Without_Earmarks",59759230.3529881
2042,"Without_Earmarks",59129976.0418189
2043,"Without_Earmarks",55513300.8062628
2044,"Without_Earmarks",55507272.3173825
2045,"Without_Earmarks",55569168.4266836
2046,"Without_Earmarks",55170388.1774755
2027,"With_Earmarks",53486516.5326677
2028,"With_Earmarks",57295874.3300332
2029,"With_Earmarks",53748284.0500164
2030,"With_Earmarks",50811798.5682932
2031,"With_Earmarks",49473225.5356611
2032,"With_Earmarks",50547130.3375743
2033,"With_Earmarks",52052791.6978454
2034,"With_Earmarks",54670382.0589414
2035,"With_Earmarks",52283779.3137475
2036,"With_Earmarks",54498563.5356352
2037,"With_Earmarks",55282046.5504958
2038,"With_Earmarks",54763440.893342
2039,"With_Earmarks",55895848.4802591
2040,"With_Earmarks",56658884.1042682
2041,"With_Earmarks",56846682.7171194
2042,"With_Earmarks",55974716.1029611
2043,"With_Earmarks",52115328.5644159
2044,"With_Earmarks",51866587.7725465
2045,"With_Earmarks",51685771.5788586
2046,"With_Earmarks",51044279.0266614
