"year","scenario","repayments"
2027,"Without_Earmarks",207175598.481836
2028,"Without_Earmarks",227627241.403152
2029,"Without_Earmarks",223364822.215927
2030,"Without_Earmarks",228986877.178282
2031,"Without_Earmarks",228862262.338509
2032,"Without_Earmarks",226237176.487304
2033,"Without_Earmarks",223652359.554026
2034,"Without_Earmarks",215488443.958069
2035,"Without_Earmarks",216082468.644236
2036,"Without_Earmarks",215319593.565195
2037,"Without_Earmarks",221535020.617501
2038,"Without_Earmarks",226293077.937203
2039,"Without_Earmarks",235782515.791915
2040,"Without_Earmarks",233982184.637541
2041,"Without_Earmarks",228992449.297118
2042,"Without_Earmarks",222803268.435298
2043,"Without_Earmarks",221910562.980445
2044,"Without_Earmarks",215247750.640031
2045,"Without_Earmarks",209331437.359948
2046,"Without_Earmarks",196170966.727116
2027,"With_Earmarks",207175598.481836
2028,"With_Earmarks",227627241.403152
2029,"With_Earmarks",223364822.215927
2030,"With_Earmarks",228675557.464414
2031,"With_Earmarks",228239622.910772
2032,"With_Earmarks",225303217.3457
2033,"With_Earmarks",222407080.698554
2034,"With_Earmarks",213931845.388729
2035,"With_Earmarks",214214550.361028
2036,"With_Earmarks",213140355.568118
2037,"With_Earmarks",219044462.906556
2038,"With_Earmarks",223491200.51239
2039,"With_Earmarks",232669318.653234
2040,"With_Earmarks",230557667.784992
2041,"With_Earmarks",225256612.7307
2042,"With_Earmarks",218756112.155012
2043,"With_Earmarks",217552086.986292
2044,"With_Earmarks",210577954.932009
2045,"With_Earmarks",204350321.938058
2046,"With_Earmarks",190878531.591358
