"year","scenario","repayments"
2027,"Without_Earmarks",33442968.2814641
2028,"Without_Earmarks",35408869.6153535
2029,"Without_Earmarks",34654660.9708878
2030,"Without_Earmarks",33941079.7973513
2031,"Without_Earmarks",34913066.4478156
2032,"Without_Earmarks",35247209.3752751
2033,"Without_Earmarks",35234377.9245004
2034,"Without_Earmarks",35244048.657596
2035,"Without_Earmarks",35786092.7486896
2036,"Without_Earmarks",37801850.2910484
2037,"Without_Earmarks",39817607.8334071
2038,"Without_Earmarks",40266287.9235855
2039,"Without_Earmarks",41045571.9489404
2040,"Without_Earmarks",42005474.886774
2041,"Without_Earmarks",40040247.811074
2042,"Without_Earmarks",38992777.205665
2043,"Without_Earmarks",37551416.9965722
2044,"Without_Earmarks",37468651.339092
2045,"Without_Earmarks",37943597.5909293
2046,"Without_Earmarks",39187868.8766859
2027,"With_Earmarks",33442968.2814641
2028,"With_Earmarks",35408869.6153535
2029,"With_Earmarks",34654660.9708878
2030,"With_Earmarks",33593938.2762856
2031,"With_Earmarks",34218783.4056842
2032,"With_Earmarks",34205784.8120781
2033,"With_Earmarks",33845811.8402377
2034,"With_Earmarks",33508341.0522676
2035,"With_Earmarks",33703243.6222956
2036,"With_Earmarks",35371859.6435887
2037,"With_Earmarks",37040475.6648818
2038,"With_Earmarks",37142014.2339945
2039,"With_Earmarks",37574156.7382837
2040,"With_Earmarks",38186918.1550517
2041,"With_Earmarks",35874549.558286
2042,"With_Earmarks",34479937.4318113
2043,"With_Earmarks",32691435.7016529
2044,"With_Earmarks",32261528.523107
2045,"With_Earmarks",32389333.2538786
2046,"With_Earmarks",33286463.0185696
