"year","scenario","repayments"
2027,"Without_Earmarks",366297357.614034
2028,"Without_Earmarks",387127720.942143
2029,"Without_Earmarks",378314174.743673
2030,"Without_Earmarks",386033096.292035
2031,"Without_Earmarks",393733127.922222
2032,"Without_Earmarks",404997039.304126
2033,"Without_Earmarks",402000082.67829
2034,"Without_Earmarks",406095066.730701
2035,"Without_Earmarks",406574669.622534
2036,"Without_Earmarks",414107361.195778
2037,"Without_Earmarks",409466484.568301
2038,"Without_Earmarks",399046004.597606
2039,"Without_Earmarks",390871550.020737
2040,"Without_Earmarks",371411353.155182
2041,"Without_Earmarks",369150832.657183
2042,"Without_Earmarks",362639475.909913
2043,"Without_Earmarks",366921422.507418
2044,"Without_Earmarks",362972043.373718
2045,"Without_Earmarks",358975473.621233
2046,"Without_Earmarks",351158090.223303
2027,"With_Earmarks",366297357.614034
2028,"With_Earmarks",387127720.942143
2029,"With_Earmarks",378314174.743673
2030,"With_Earmarks",384742413.002669
2031,"With_Earmarks",391151761.34349
2032,"With_Earmarks",401124989.436028
2033,"With_Earmarks",396837349.520827
2034,"With_Earmarks",399641650.283873
2035,"With_Earmarks",398830569.886339
2036,"With_Earmarks",405072578.170218
2037,"With_Earmarks",399141018.253376
2038,"With_Earmarks",387429854.993315
2039,"With_Earmarks",377964717.12708
2040,"With_Earmarks",357213836.972159
2041,"With_Earmarks",353662633.184795
2042,"With_Earmarks",345860593.148158
2043,"With_Earmarks",348851856.456298
2044,"With_Earmarks",343611794.033232
2045,"With_Earmarks",338324540.991381
2046,"With_Earmarks",329216474.304086
