"year","scenario","repayments"
2027,"Without_Earmarks",320523584.162119
2028,"Without_Earmarks",339549143.497822
2029,"Without_Earmarks",321601669.175256
2030,"Without_Earmarks",327970229.222216
2031,"Without_Earmarks",331975613.027136
2032,"Without_Earmarks",339941646.684672
2033,"Without_Earmarks",335929889.698532
2034,"Without_Earmarks",343142446.55968
2035,"Without_Earmarks",348772141.390449
2036,"Without_Earmarks",344776209.51487
2037,"Without_Earmarks",353815583.915888
2038,"Without_Earmarks",354977462.252155
2039,"Without_Earmarks",365844452.532443
2040,"Without_Earmarks",357530512.342069
2041,"Without_Earmarks",353714001.672412
2042,"Without_Earmarks",343534682.523492
2043,"Without_Earmarks",324445005.765121
2044,"Without_Earmarks",324027860.131921
2045,"Without_Earmarks",318142650.812705
2046,"Without_Earmarks",300349795.356603
2027,"With_Earmarks",320523584.162119
2028,"With_Earmarks",339549143.497822
2029,"With_Earmarks",321601669.175256
2030,"With_Earmarks",327907852.93916
2031,"With_Earmarks",331850860.461025
2032,"With_Earmarks",339754517.835505
2033,"With_Earmarks",335680384.566309
2034,"With_Earmarks",342830565.144402
2035,"With_Earmarks",348397883.692115
2036,"With_Earmarks",344339575.53348
2037,"With_Earmarks",353316573.651442
2038,"With_Earmarks",354416075.704653
2039,"With_Earmarks",365220689.701886
2040,"With_Earmarks",356844373.228456
2041,"With_Earmarks",352965486.275744
2042,"With_Earmarks",342723790.843768
2043,"With_Earmarks",323571737.802341
2044,"With_Earmarks",323092215.886085
2045,"With_Earmarks",317144630.283814
2046,"With_Earmarks",299289398.544656
