"year","scenario","repayments"
2027,"Without_Earmarks",57388759.328096
2028,"Without_Earmarks",66227516.3975999
2029,"Without_Earmarks",63835937.5230155
2030,"Without_Earmarks",64214746.2068391
2031,"Without_Earmarks",63654660.8560459
2032,"Without_Earmarks",63270410.8069922
2033,"Without_Earmarks",59658456.633377
2034,"Without_Earmarks",61955292.240639
2035,"Without_Earmarks",62871580.9959143
2036,"Without_Earmarks",64593151.6163478
2037,"Without_Earmarks",67186867.3549991
2038,"Without_Earmarks",69780583.0936503
2039,"Without_Earmarks",69292755.5016278
2040,"Without_Earmarks",68384980.7026594
2041,"Without_Earmarks",70168673.9942359
2042,"Without_Earmarks",69540962.0030523
2043,"Without_Earmarks",70522019.2610559
2044,"Without_Earmarks",70575685.0772827
2045,"Without_Earmarks",72473827.7109391
2046,"Without_Earmarks",70996107.7578055
2027,"With_Earmarks",57388759.328096
2028,"With_Earmarks",66227516.3975999
2029,"With_Earmarks",63835937.5230155
2030,"With_Earmarks",63483053.9632836
2031,"With_Earmarks",62191276.3689348
2032,"With_Earmarks",61075334.0763256
2033,"With_Earmarks",56731687.6591548
2034,"With_Earmarks",58296831.0228613
2035,"With_Earmarks",58481427.5345811
2036,"With_Earmarks",59471305.911459
2037,"With_Earmarks",61333329.4065548
2038,"With_Earmarks",63195352.9016505
2039,"With_Earmarks",61975833.0660724
2040,"With_Earmarks",60336366.0235485
2041,"With_Earmarks",61388367.0715695
2042,"With_Earmarks",60028962.8368303
2043,"With_Earmarks",60278327.8512784
2044,"With_Earmarks",59600301.4239496
2045,"With_Earmarks",60766751.8140505
2046,"With_Earmarks",58557339.6173613
