"year","scenario","repayments"
2027,"Without_Earmarks",78425868.4384191
2028,"Without_Earmarks",77642623.5081465
2029,"Without_Earmarks",76850835.5471709
2030,"Without_Earmarks",78259638.0554311
2031,"Without_Earmarks",69109041.5136479
2032,"Without_Earmarks",73177511.4782514
2033,"Without_Earmarks",71754509.485797
2034,"Without_Earmarks",69745578.2297462
2035,"Without_Earmarks",66691186.1350675
2036,"Without_Earmarks",67683439.7794409
2037,"Without_Earmarks",68889336.5197818
2038,"Without_Earmarks",69902050.1272895
2039,"Without_Earmarks",71456628.2418963
2040,"Without_Earmarks",70265185.7330327
2041,"Without_Earmarks",69942707.1653463
2042,"Without_Earmarks",71732857.76507
2043,"Without_Earmarks",70735193.278588
2044,"Without_Earmarks",71850461.1010475
2045,"Without_Earmarks",71267925.3193047
2046,"Without_Earmarks",74071319.7011672
2027,"With_Earmarks",78425868.4384191
2028,"With_Earmarks",77642623.5081465
2029,"With_Earmarks",76850835.5471709
2030,"With_Earmarks",77454423.4712878
2031,"With_Earmarks",67498612.3453615
2032,"With_Earmarks",70761867.7258218
2033,"With_Earmarks",68533651.1492241
2034,"With_Earmarks",65719505.3090301
2035,"With_Earmarks",61859898.6302082
2036,"With_Earmarks",62046937.6904383
2037,"With_Earmarks",62447619.8466361
2038,"With_Earmarks",62655118.8700005
2039,"With_Earmarks",63404482.4004641
2040,"With_Earmarks",61407825.3074572
2041,"With_Earmarks",60280132.1556277
2042,"With_Earmarks",61265068.1712082
2043,"With_Earmarks",59462189.1005829
2044,"With_Earmarks",59772242.3388992
2045,"With_Earmarks",58384491.9730132
2046,"With_Earmarks",60382671.7707325
