"year","scenario","repayments"
2027,"Without_Earmarks",59655321.2930776
2028,"Without_Earmarks",59337405.1138837
2029,"Without_Earmarks",57624816.5049848
2030,"Without_Earmarks",60387966.431963
2031,"Without_Earmarks",63284215.0573956
2032,"Without_Earmarks",66358441.857782
2033,"Without_Earmarks",65138908.2253775
2034,"Without_Earmarks",62610398.5222064
2035,"Without_Earmarks",62534366.631845
2036,"Without_Earmarks",60289339.0410718
2037,"Without_Earmarks",58330094.4346719
2038,"Without_Earmarks",59409512.6179301
2039,"Without_Earmarks",58266541.4592521
2040,"Without_Earmarks",58672628.3832935
2041,"Without_Earmarks",57017295.3384586
2042,"Without_Earmarks",57349320.7377089
2043,"Without_Earmarks",58801866.4149053
2044,"Without_Earmarks",61794698.5328011
2045,"Without_Earmarks",59208340.5306742
2046,"Without_Earmarks",62272411.9308792
2027,"With_Earmarks",59655321.2930776
2028,"With_Earmarks",59337405.1138837
2029,"With_Earmarks",57624816.5049848
2030,"With_Earmarks",59971862.4926669
2031,"With_Earmarks",62452007.1788033
2032,"With_Earmarks",65110130.0398935
2033,"With_Earmarks",63474492.4681928
2034,"With_Earmarks",60529878.8257256
2035,"With_Earmarks",60037742.996068
2036,"With_Earmarks",57376611.4659987
2037,"With_Earmarks",55001262.9203026
2038,"With_Earmarks",55664577.1642647
2039,"With_Earmarks",54105502.0662906
2040,"With_Earmarks",54095485.0510358
2041,"With_Earmarks",52024048.0669048
2042,"With_Earmarks",51939969.5268589
2043,"With_Earmarks",52976411.2647591
2044,"With_Earmarks",55553139.4433588
2045,"With_Earmarks",52550677.5019358
2046,"With_Earmarks",55198644.9628446
