"year","scenario","repayments"
2027,"Without_Earmarks",314806073.175566
2028,"Without_Earmarks",323319389.312928
2029,"Without_Earmarks",307072674.345928
2030,"Without_Earmarks",298502125.24261
2031,"Without_Earmarks",295483727.323029
2032,"Without_Earmarks",299321382.18105
2033,"Without_Earmarks",284651742.094802
2034,"Without_Earmarks",288929254.176461
2035,"Without_Earmarks",292666695.723218
2036,"Without_Earmarks",296460347.933713
2037,"Without_Earmarks",300607022.062003
2038,"Without_Earmarks",300402428.770765
2039,"Without_Earmarks",303436888.345961
2040,"Without_Earmarks",304226338.894785
2041,"Without_Earmarks",311642418.882791
2042,"Without_Earmarks",308146417.970882
2043,"Without_Earmarks",308575055.81234
2044,"Without_Earmarks",308419116.676255
2045,"Without_Earmarks",299340327.654375
2046,"Without_Earmarks",290122019.136034
2027,"With_Earmarks",314806073.175566
2028,"With_Earmarks",323319389.312928
2029,"With_Earmarks",307072674.345928
2030,"With_Earmarks",297302600.692154
2031,"With_Earmarks",293084678.222116
2032,"With_Earmarks",295722808.529681
2033,"With_Earmarks",279853643.892977
2034,"With_Earmarks",282931631.42418
2035,"With_Earmarks",285469548.42048
2036,"With_Earmarks",288063676.08052
2037,"With_Earmarks",291010825.658353
2038,"With_Earmarks",289606707.816659
2039,"With_Earmarks",291441642.841399
2040,"With_Earmarks",291031568.839767
2041,"With_Earmarks",297248124.277316
2042,"With_Earmarks",292552598.814951
2043,"With_Earmarks",291781712.105952
2044,"With_Earmarks",290426248.419411
2045,"With_Earmarks",280147934.847076
2046,"With_Earmarks",269730101.778278
