"year","scenario","repayments"
2027,"Without_Earmarks",133256400.093842
2028,"Without_Earmarks",137113086.705628
2029,"Without_Earmarks",129058298.076908
2030,"Without_Earmarks",132343844.258059
2031,"Without_Earmarks",135941640.876767
2032,"Without_Earmarks",141119067.33277
2033,"Without_Earmarks",141847826.480623
2034,"Without_Earmarks",147456786.565282
2035,"Without_Earmarks",142585748.716809
2036,"Without_Earmarks",147076420.426672
2037,"Without_Earmarks",145547932.318069
2038,"Without_Earmarks",144216597.45691
2039,"Without_Earmarks",141091260.147161
2040,"Without_Earmarks",145427656.717576
2041,"Without_Earmarks",143728941.649248
2042,"Without_Earmarks",139008436.24601
2043,"Without_Earmarks",139983172.460729
2044,"Without_Earmarks",125781924.398914
2045,"Without_Earmarks",133180977.391953
2046,"Without_Earmarks",138758414.287491
2027,"With_Earmarks",133256400.093842
2028,"With_Earmarks",137113086.705628
2029,"With_Earmarks",129058298.076908
2030,"With_Earmarks",131667526.29989
2031,"With_Earmarks",134589004.960428
2032,"With_Earmarks",139090113.458261
2033,"With_Earmarks",139142554.647945
2034,"With_Earmarks",144075196.774434
2035,"With_Earmarks",138527840.967791
2036,"With_Earmarks",142342194.719485
2037,"With_Earmarks",140137388.652713
2038,"With_Earmarks",138129735.833383
2039,"With_Earmarks",134328080.565465
2040,"With_Earmarks",137988159.177711
2041,"With_Earmarks",135613126.151213
2042,"With_Earmarks",130216302.789806
2043,"With_Earmarks",130514721.046355
2044,"With_Earmarks",115637155.02637
2045,"With_Earmarks",122359890.06124
2046,"With_Earmarks",127261008.998608
