"year","scenario","repayments"
2027,"Without_Earmarks",36519049.961377
2028,"Without_Earmarks",38761402.5027783
2029,"Without_Earmarks",37110011.5135394
2030,"Without_Earmarks",37751002.2671105
2031,"Without_Earmarks",37102330.3488036
2032,"Without_Earmarks",36945590.9651543
2033,"Without_Earmarks",37220234.6692441
2034,"Without_Earmarks",37757426.4055717
2035,"Without_Earmarks",37279496.1872416
2036,"Without_Earmarks",37057614.5211442
2037,"Without_Earmarks",37928228.9136186
2038,"Without_Earmarks",39572365.5556888
2039,"Without_Earmarks",38055969.9361549
2040,"Without_Earmarks",38181265.5663398
2041,"Without_Earmarks",39234687.5349807
2042,"Without_Earmarks",38288241.4437481
2043,"Without_Earmarks",37883263.4371048
2044,"Without_Earmarks",38306881.7969983
2045,"Without_Earmarks",36140398.201171
2046,"Without_Earmarks",36621600.5950892
2027,"With_Earmarks",36519049.961377
2028,"With_Earmarks",38761402.5027783
2029,"With_Earmarks",37110011.5135394
2030,"With_Earmarks",35940502.971688
2031,"With_Earmarks",33481331.7579585
2032,"With_Earmarks",31514093.0788867
2033,"With_Earmarks",29978237.4875539
2034,"With_Earmarks",28704929.928459
2035,"With_Earmarks",26416500.4147063
2036,"With_Earmarks",24384119.4531864
2037,"With_Earmarks",23444234.5502382
2038,"With_Earmarks",23277871.8968859
2039,"With_Earmarks",19950976.9819295
2040,"With_Earmarks",18265773.3166918
2041,"With_Earmarks",17508695.9899102
2042,"With_Earmarks",14751750.603255
2043,"With_Earmarks",12536273.3011892
2044,"With_Earmarks",11149392.3656601
2045,"With_Earmarks",7172409.4744103
2046,"With_Earmarks",5843112.57290595
