"year","scenario","repayments"
2027,"Without_Earmarks",273451946.374812
2028,"Without_Earmarks",298624214.6229
2029,"Without_Earmarks",288509836.612597
2030,"Without_Earmarks",290713123.70948
2031,"Without_Earmarks",276655346.690486
2032,"Without_Earmarks",260733132.356191
2033,"Without_Earmarks",259518505.370004
2034,"Without_Earmarks",267219741.369474
2035,"Without_Earmarks",268690580.108315
2036,"Without_Earmarks",269784885.8669
2037,"Without_Earmarks",270630793.34049
2038,"Without_Earmarks",264652126.877689
2039,"Without_Earmarks",267084749.30455
2040,"Without_Earmarks",261992467.375945
2041,"Without_Earmarks",270814279.790193
2042,"Without_Earmarks",274209396.199878
2043,"Without_Earmarks",279821657.139707
2044,"Without_Earmarks",280434780.084345
2045,"Without_Earmarks",270275113.571203
2046,"Without_Earmarks",254514404.66713
2027,"With_Earmarks",273451946.374812
2028,"With_Earmarks",298624214.6229
2029,"With_Earmarks",288509836.612597
2030,"With_Earmarks",288740709.655726
2031,"With_Earmarks",272710518.58298
2032,"With_Earmarks",254815890.194931
2033,"With_Earmarks",251628849.154991
2034,"With_Earmarks",257357671.100708
2035,"With_Earmarks",256856095.785796
2036,"With_Earmarks",255977987.490627
2037,"With_Earmarks",254851480.910464
2038,"With_Earmarks",246900400.393909
2039,"With_Earmarks",247360608.767018
2040,"With_Earmarks",240295912.784659
2041,"With_Earmarks",247145311.145153
2042,"With_Earmarks",248568013.501085
2043,"With_Earmarks",252207860.387161
2044,"With_Earmarks",250848569.278046
2045,"With_Earmarks",238716488.71115
2046,"With_Earmarks",220983365.753324
