"year","scenario","repayments"
2027,"Without_Earmarks",150865372.477627
2028,"Without_Earmarks",155179727.079678
2029,"Without_Earmarks",151449856.326779
2030,"Without_Earmarks",149572922.585976
2031,"Without_Earmarks",147101069.806885
2032,"Without_Earmarks",142522825.785256
2033,"Without_Earmarks",137472853.723801
2034,"Without_Earmarks",136227085.198746
2035,"Without_Earmarks",135327710.77419
2036,"Without_Earmarks",138931290.751981
2037,"Without_Earmarks",141030434.91499
2038,"Without_Earmarks",143250884.10778
2039,"Without_Earmarks",144709922.140398
2040,"Without_Earmarks",146995571.710509
2041,"Without_Earmarks",151151934.942607
2042,"Without_Earmarks",150997590.395238
2043,"Without_Earmarks",149598104.369325
2044,"Without_Earmarks",150654407.844145
2045,"Without_Earmarks",150191388.279373
2046,"Without_Earmarks",144248816.103965
2027,"With_Earmarks",150865372.477627
2028,"With_Earmarks",155179727.079678
2029,"With_Earmarks",151449856.326779
2030,"With_Earmarks",148636079.06433
2031,"With_Earmarks",145227382.763594
2032,"With_Earmarks",139712295.22032
2033,"With_Earmarks",133725479.63722
2034,"With_Earmarks",131542867.59052
2035,"With_Earmarks",129706649.644318
2036,"With_Earmarks",132373386.100464
2037,"With_Earmarks",133535686.741828
2038,"With_Earmarks",134819292.412973
2039,"With_Earmarks",135341486.923946
2040,"With_Earmarks",136690292.972411
2041,"With_Earmarks",139909812.682864
2042,"With_Earmarks",138818624.61385
2043,"With_Earmarks",136482295.066291
2044,"With_Earmarks",136601755.019466
2045,"With_Earmarks",135201891.933049
2046,"With_Earmarks",128322476.235995
