"year","scenario","repayments"
2027,"Without_Earmarks",126283359.510932
2028,"Without_Earmarks",165198125.163574
2029,"Without_Earmarks",156918821.775638
2030,"Without_Earmarks",159538968.631716
2031,"Without_Earmarks",162454282.786477
2032,"Without_Earmarks",165104865.496097
2033,"Without_Earmarks",159450849.428539
2034,"Without_Earmarks",165906179.584723
2035,"Without_Earmarks",167158454.980141
2036,"Without_Earmarks",169328621.427481
2037,"Without_Earmarks",168591564.311333
2038,"Without_Earmarks",171536140.116845
2039,"Without_Earmarks",166658054.824071
2040,"Without_Earmarks",166964943.151984
2041,"Without_Earmarks",169440580.818981
2042,"Without_Earmarks",174159344.224457
2043,"Without_Earmarks",174628303.544437
2044,"Without_Earmarks",167893436.675162
2045,"Without_Earmarks",172894086.753029
2046,"Without_Earmarks",173096914.40886
2027,"With_Earmarks",126283359.510932
2028,"With_Earmarks",165198125.163574
2029,"With_Earmarks",156918821.775638
2030,"With_Earmarks",158981896.617728
2031,"With_Earmarks",161340138.758501
2032,"With_Earmarks",163433649.454133
2033,"With_Earmarks",157222561.372587
2034,"With_Earmarks",163120819.514783
2035,"With_Earmarks",163816022.896213
2036,"With_Earmarks",165429117.329565
2037,"With_Earmarks",164134988.199428
2038,"With_Earmarks",166522491.990953
2039,"With_Earmarks",161087334.68419
2040,"With_Earmarks",160837150.998115
2041,"With_Earmarks",162755716.651124
2042,"With_Earmarks",166917408.042612
2043,"With_Earmarks",166829295.348604
2044,"With_Earmarks",159537356.465341
2045,"With_Earmarks",163980934.52922
2046,"With_Earmarks",163626690.171063
