"year","scenario","repayments"
2027,"Without_Earmarks",35730693.9195311
2028,"Without_Earmarks",39296763.3835397
2029,"Without_Earmarks",37015328.2687056
2030,"Without_Earmarks",38178390.4019958
2031,"Without_Earmarks",38192815.6373386
2032,"Without_Earmarks",40252501.7073227
2033,"Without_Earmarks",40166572.1959556
2034,"Without_Earmarks",39884842.5842756
2035,"Without_Earmarks",40535919.2592114
2036,"Without_Earmarks",38739636.4468944
2037,"Without_Earmarks",41009769.3012773
2038,"Without_Earmarks",38706616.2470282
2039,"Without_Earmarks",40976749.1014111
2040,"Without_Earmarks",42846948.1248237
2041,"Without_Earmarks",45117080.9792067
2042,"Without_Earmarks",44561482.1795023
2043,"Without_Earmarks",46307414.7742254
2044,"Without_Earmarks",45976971.9429812
2045,"Without_Earmarks",45057563.638847
2046,"Without_Earmarks",45988752.7756113
2027,"With_Earmarks",35730693.9195311
2028,"With_Earmarks",39296763.3835397
2029,"With_Earmarks",37015328.2687056
2030,"With_Earmarks",36641312.7195998
2031,"With_Earmarks",35118660.2725466
2032,"With_Earmarks",35641268.6601347
2033,"With_Earmarks",34018261.4663716
2034,"With_Earmarks",32199454.1722956
2035,"With_Earmarks",31313453.1648354
2036,"With_Earmarks",27980092.6701224
2037,"With_Earmarks",28713147.8421093
2038,"With_Earmarks",24872917.1054642
2039,"With_Earmarks",25605972.2774511
2040,"With_Earmarks",25939093.6184677
2041,"With_Earmarks",26672148.7904547
2042,"With_Earmarks",24579472.3083543
2043,"With_Earmarks",24788327.2206814
2044,"With_Earmarks",22920806.7070412
2045,"With_Earmarks",20464320.720511
2046,"With_Earmarks",19858432.1748793
