"year","scenario","repayments"
2027,"Without_Earmarks",36210062.6314057
2028,"Without_Earmarks",37099492.4884111
2029,"Without_Earmarks",36405172.2560046
2030,"Without_Earmarks",36541716.8756126
2031,"Without_Earmarks",37115743.3262775
2032,"Without_Earmarks",37844851.7778019
2033,"Without_Earmarks",37378358.5258295
2034,"Without_Earmarks",37053456.0204465
2035,"Without_Earmarks",38685499.4627289
2036,"Without_Earmarks",39189206.3003439
2037,"Without_Earmarks",39428211.0473807
2038,"Without_Earmarks",37627989.7573887
2039,"Without_Earmarks",36580609.1614691
2040,"Without_Earmarks",36294405.8877076
2041,"Without_Earmarks",35809453.1262705
2042,"Without_Earmarks",35416118.4418741
2043,"Without_Earmarks",35136287.1187885
2044,"Without_Earmarks",33794878.3335164
2045,"Without_Earmarks",34435845.7983944
2046,"Without_Earmarks",35508869.5604009
2027,"With_Earmarks",36210062.6314057
2028,"With_Earmarks",37099492.4884111
2029,"With_Earmarks",36405172.2560046
2030,"With_Earmarks",36541716.8756126
2031,"With_Earmarks",37115743.3262775
2032,"With_Earmarks",37844851.7778019
2033,"With_Earmarks",37378358.5258295
2034,"With_Earmarks",37053456.0204465
2035,"With_Earmarks",38685499.4627289
2036,"With_Earmarks",39189206.3003439
2037,"With_Earmarks",39428211.0473807
2038,"With_Earmarks",37627989.7573887
2039,"With_Earmarks",36580609.1614691
2040,"With_Earmarks",36294405.8877076
2041,"With_Earmarks",35809453.1262705
2042,"With_Earmarks",35416118.4418741
2043,"With_Earmarks",35136287.1187885
2044,"With_Earmarks",33794878.3335164
2045,"With_Earmarks",34435845.7983944
2046,"With_Earmarks",35508869.5604009
