"year","scenario","repayments"
2027,"Without_Earmarks",112272353.09087
2028,"Without_Earmarks",123041905.722611
2029,"Without_Earmarks",120128351.914793
2030,"Without_Earmarks",121803251.708272
2031,"Without_Earmarks",123548041.192795
2032,"Without_Earmarks",123684248.753387
2033,"Without_Earmarks",125825859.051315
2034,"Without_Earmarks",131774061.889353
2035,"Without_Earmarks",132301072.965697
2036,"Without_Earmarks",127529834.773346
2037,"Without_Earmarks",125530135.405429
2038,"Without_Earmarks",128928504.49822
2039,"Without_Earmarks",129641214.460169
2040,"Without_Earmarks",132432301.134999
2041,"Without_Earmarks",130754203.765509
2042,"Without_Earmarks",133807467.328692
2043,"Without_Earmarks",136904239.496373
2044,"Without_Earmarks",129809332.660181
2045,"Without_Earmarks",126026640.736846
2046,"Without_Earmarks",121140233.766159
2027,"With_Earmarks",112272353.09087
2028,"With_Earmarks",123041905.722611
2029,"With_Earmarks",120128351.914793
2030,"With_Earmarks",120810360.659213
2031,"With_Earmarks",121562259.094677
2032,"With_Earmarks",120705575.606209
2033,"With_Earmarks",121854294.855079
2034,"With_Earmarks",126809606.644057
2035,"With_Earmarks",126343726.671342
2036,"With_Earmarks",120579597.429932
2037,"With_Earmarks",117587007.012955
2038,"With_Earmarks",119992485.056688
2039,"With_Earmarks",119712303.969577
2040,"With_Earmarks",121510499.595348
2041,"With_Earmarks",118839511.176799
2042,"With_Earmarks",120899883.690922
2043,"With_Earmarks",123003764.809544
2044,"With_Earmarks",114915966.924293
2045,"With_Earmarks",110140383.951899
2046,"With_Earmarks",104261085.932153
