"year","scenario","repayments"
2027,"Without_Earmarks",52235397.9090148
2028,"Without_Earmarks",56883658.1780368
2029,"Without_Earmarks",56469981.4273664
2030,"Without_Earmarks",56332883.3086627
2031,"Without_Earmarks",56923314.6379881
2032,"Without_Earmarks",53766043.7135045
2033,"Without_Earmarks",55251907.7914489
2034,"Without_Earmarks",56826365.9250401
2035,"Without_Earmarks",58176348.3869215
2036,"Without_Earmarks",60103115.112939
2037,"Without_Earmarks",60772187.2093991
2038,"Without_Earmarks",50397097.1856709
2039,"Without_Earmarks",51442989.5750812
2040,"Without_Earmarks",52941030.6826845
2041,"Without_Earmarks",52984453.4158748
2042,"Without_Earmarks",45679710.4821465
2043,"Without_Earmarks",47385375.3102945
2044,"Without_Earmarks",48414958.3918065
2045,"Without_Earmarks",49549693.414045
2046,"Without_Earmarks",43191011.6898925
2027,"With_Earmarks",52235397.9090148
2028,"With_Earmarks",56883658.1780368
2029,"With_Earmarks",56469981.4273664
2030,"With_Earmarks",56332883.3086627
2031,"With_Earmarks",56923314.6379881
2032,"With_Earmarks",53766043.7135045
2033,"With_Earmarks",55251907.7914489
2034,"With_Earmarks",56826365.9250401
2035,"With_Earmarks",58176348.3869215
2036,"With_Earmarks",60103115.112939
2037,"With_Earmarks",60772187.2093991
2038,"With_Earmarks",50397097.1856709
2039,"With_Earmarks",51442989.5750812
2040,"With_Earmarks",52941030.6826845
2041,"With_Earmarks",52984453.4158748
2042,"With_Earmarks",45679710.4821465
2043,"With_Earmarks",47385375.3102945
2044,"With_Earmarks",48414958.3918065
2045,"With_Earmarks",49549693.414045
2046,"With_Earmarks",43191011.6898925
