"year","scenario","repayments"
2027,"Without_Earmarks",41818817.5185904
2028,"Without_Earmarks",42180825.5503606
2029,"Without_Earmarks",39777071.0672728
2030,"Without_Earmarks",41479275.0067326
2031,"Without_Earmarks",42986449.983206
2032,"Without_Earmarks",44560312.9041529
2033,"Without_Earmarks",43981180.6229291
2034,"Without_Earmarks",43532685.856299
2035,"Without_Earmarks",45307053.0743887
2036,"Without_Earmarks",46256472.0192906
2037,"Without_Earmarks",46702758.0695966
2038,"Without_Earmarks",45028309.5891272
2039,"Without_Earmarks",45334677.8477467
2040,"Without_Earmarks",46404013.7780066
2041,"Without_Earmarks",47997907.6178598
2042,"Without_Earmarks",50066276.4049786
2043,"Without_Earmarks",48552249.386654
2044,"Without_Earmarks",50911977.5641437
2045,"Without_Earmarks",40560674.662311
2046,"Without_Earmarks",42727284.1287184
2027,"With_Earmarks",41818817.5185904
2028,"With_Earmarks",42180825.5503606
2029,"With_Earmarks",39777071.0672728
2030,"With_Earmarks",41141513.5694165
2031,"With_Earmarks",42310927.1085737
2032,"With_Earmarks",43547028.5922045
2033,"With_Earmarks",42630134.8736647
2034,"With_Earmarks",41843878.6697183
2035,"With_Earmarks",43280484.450492
2036,"With_Earmarks",43892141.9580777
2037,"With_Earmarks",44000666.5710676
2038,"With_Earmarks",41988456.6532821
2039,"With_Earmarks",41957063.4745854
2040,"With_Earmarks",42688637.9675292
2041,"With_Earmarks",43944770.3700663
2042,"With_Earmarks",45675377.7198689
2043,"With_Earmarks",43823589.2642283
2044,"With_Earmarks",45845556.0044019
2045,"With_Earmarks",35156491.665253
2046,"With_Earmarks",36985339.6943442
