"year","scenario","repayments"
2027,"Without_Earmarks",51522397.5627429
2028,"Without_Earmarks",52013755.0646024
2029,"Without_Earmarks",50098571.4924997
2030,"Without_Earmarks",50355074.8028027
2031,"Without_Earmarks",49573851.1318585
2032,"Without_Earmarks",52098653.9709399
2033,"Without_Earmarks",49073285.1283102
2034,"Without_Earmarks",51434836.2890211
2035,"Without_Earmarks",53096379.6133508
2036,"Without_Earmarks",51588693.7233964
2037,"Without_Earmarks",50555861.1008465
2038,"Without_Earmarks",52517854.1864423
2039,"Without_Earmarks",49993585.3580571
2040,"Without_Earmarks",46972564.3606191
2041,"Without_Earmarks",48344936.871564
2042,"Without_Earmarks",47293530.8815581
2043,"Without_Earmarks",47864975.9436395
2044,"Without_Earmarks",49273345.8877209
2045,"Without_Earmarks",49575578.7613023
2046,"Without_Earmarks",48825445.3388836
2027,"With_Earmarks",51522397.5627429
2028,"With_Earmarks",52013755.0646024
2029,"With_Earmarks",50098571.4924997
2030,"With_Earmarks",49904930.769413
2031,"With_Earmarks",48673563.0650792
2032,"With_Earmarks",50748221.8707709
2033,"With_Earmarks",47272708.9947516
2034,"With_Earmarks",49184116.1220729
2035,"With_Earmarks",50395515.4130128
2036,"With_Earmarks",48437685.4896688
2037,"With_Earmarks",46954708.8337292
2038,"With_Earmarks",48466557.8859353
2039,"With_Earmarks",45492145.0241606
2040,"With_Earmarks",42020979.9933329
2041,"With_Earmarks",42943208.4708881
2042,"With_Earmarks",41441658.4474925
2043,"With_Earmarks",41562959.4761843
2044,"With_Earmarks",42521185.386876
2045,"With_Earmarks",42373274.2270677
2046,"With_Earmarks",41172996.7712595
