"year","scenario","repayments"
2027,"Without_Earmarks",317868592.890994
2028,"Without_Earmarks",335927315.432217
2029,"Without_Earmarks",306524134.074827
2030,"Without_Earmarks",300036598.773065
2031,"Without_Earmarks",290548230.562216
2032,"Without_Earmarks",291853704.23305
2033,"Without_Earmarks",279328023.415163
2034,"Without_Earmarks",284959735.062446
2035,"Without_Earmarks",288851434.557247
2036,"Without_Earmarks",299315796.765236
2037,"Without_Earmarks",303763986.937756
2038,"Without_Earmarks",311924922.394615
2039,"Without_Earmarks",314769180.713675
2040,"Without_Earmarks",312146987.239253
2041,"Without_Earmarks",312738088.737883
2042,"Without_Earmarks",312238021.248416
2043,"Without_Earmarks",318314331.600816
2044,"Without_Earmarks",306778010.874863
2045,"Without_Earmarks",320675181.486979
2046,"Without_Earmarks",314689785.415242
2027,"With_Earmarks",317868592.890994
2028,"With_Earmarks",335927315.432217
2029,"With_Earmarks",306524134.074827
2030,"With_Earmarks",298415565.050297
2031,"With_Earmarks",287306163.11668
2032,"With_Earmarks",286990603.064745
2033,"With_Earmarks",272843888.524091
2034,"With_Earmarks",276854566.448606
2035,"With_Earmarks",279125232.220638
2036,"With_Earmarks",287968560.70586
2037,"With_Earmarks",290795717.155611
2038,"With_Earmarks",297335618.889703
2039,"With_Earmarks",298558843.485994
2040,"With_Earmarks",294315616.288805
2041,"With_Earmarks",293285684.064666
2042,"With_Earmarks",291164582.852431
2043,"With_Earmarks",295619859.482063
2044,"With_Earmarks",282462505.033342
2045,"With_Earmarks",294738641.92269
2046,"With_Earmarks",287132212.128185
