"year","scenario","repayments"
2027,"Without_Earmarks",21943619.3418737
2028,"Without_Earmarks",23929097.822077
2029,"Without_Earmarks",21111702.2678342
2030,"Without_Earmarks",21333186.6050104
2031,"Without_Earmarks",20597189.8348531
2032,"Without_Earmarks",21119333.5277839
2033,"Without_Earmarks",19330405.4016377
2034,"Without_Earmarks",20586728.4070944
2035,"Without_Earmarks",21749571.2772303
2036,"Without_Earmarks",22820695.2402933
2037,"Without_Earmarks",22627222.3487634
2038,"Without_Earmarks",22325642.4481258
2039,"Without_Earmarks",21938215.7705061
2040,"Without_Earmarks",23192072.6395986
2041,"Without_Earmarks",23463155.0248571
2042,"Without_Earmarks",23404644.896136
2043,"Without_Earmarks",22548312.451539
2044,"Without_Earmarks",23472426.5591435
2045,"Without_Earmarks",23450627.6641611
2046,"Without_Earmarks",24706950.6696178
2027,"With_Earmarks",21943619.3418737
2028,"With_Earmarks",23929097.822077
2029,"With_Earmarks",21111702.2678342
2030,"With_Earmarks",20693666.8986135
2031,"With_Earmarks",19318150.4220593
2032,"With_Earmarks",19200774.4085932
2033,"With_Earmarks",16772326.5760501
2034,"With_Earmarks",17389129.8751099
2035,"With_Earmarks",17912453.0388489
2036,"With_Earmarks",18344057.295515
2037,"With_Earmarks",17511064.6975883
2038,"With_Earmarks",16569965.0905537
2039,"With_Earmarks",15543018.7065372
2040,"With_Earmarks",16157355.8692328
2041,"With_Earmarks",15788918.5480943
2042,"With_Earmarks",15090888.7129764
2043,"With_Earmarks",13595036.5619825
2044,"With_Earmarks",13879630.9631901
2045,"With_Earmarks",13218312.3618108
2046,"With_Earmarks",13835115.6608706
