"year","scenario","repayments"
2027,"Without_Earmarks",23109045.2303652
2028,"Without_Earmarks",23516705.8593854
2029,"Without_Earmarks",21302236.6240145
2030,"Without_Earmarks",21445766.4164783
2031,"Without_Earmarks",22867411.4877279
2032,"Without_Earmarks",24335239.1776357
2033,"Without_Earmarks",23402338.327717
2034,"Without_Earmarks",21950609.3853586
2035,"Without_Earmarks",23418437.0752663
2036,"Without_Earmarks",22990464.9076069
2037,"Without_Earmarks",22826835.22979
2038,"Without_Earmarks",24165031.8085704
2039,"Without_Earmarks",24528235.9805636
2040,"Without_Earmarks",25900478.0393371
2041,"Without_Earmarks",26684495.0494186
2042,"Without_Earmarks",28152322.7393264
2043,"Without_Earmarks",24236410.6809655
2044,"Without_Earmarks",25704238.3708732
2045,"Without_Earmarks",27172066.060781
2046,"Without_Earmarks",28639893.7506887
2027,"With_Earmarks",23109045.2303652
2028,"With_Earmarks",23516705.8593854
2029,"With_Earmarks",21302236.6240145
2030,"With_Earmarks",20338599.5551496
2031,"With_Earmarks",20653077.7650705
2032,"With_Earmarks",21013738.5936495
2033,"With_Earmarks",18973670.8824021
2034,"With_Earmarks",16414775.0787149
2035,"With_Earmarks",16775435.9072939
2036,"With_Earmarks",15240296.8783058
2037,"With_Earmarks",13969500.3391601
2038,"With_Earmarks",14200530.0566118
2039,"With_Earmarks",13456567.3672762
2040,"With_Earmarks",13721642.5647211
2041,"With_Earmarks",13398492.7134739
2042,"With_Earmarks",13759153.5420529
2043,"With_Earmarks",8736074.62236327
2044,"With_Earmarks",9096735.45094228
2045,"With_Earmarks",9457396.2795213
2046,"With_Earmarks",9818057.10810031
