"year","scenario","repayments"
2027,"Without_Earmarks",506048581.648813
2028,"Without_Earmarks",565698936.1478
2029,"Without_Earmarks",560249477.58506
2030,"Without_Earmarks",579088497.181934
2031,"Without_Earmarks",596070149.581142
2032,"Without_Earmarks",617777294.287781
2033,"Without_Earmarks",626229919.599022
2034,"Without_Earmarks",640924979.121489
2035,"Without_Earmarks",649043712.077197
2036,"Without_Earmarks",666502870.894878
2037,"Without_Earmarks",653946544.688345
2038,"Without_Earmarks",639125910.339746
2039,"Without_Earmarks",589239984.177748
2040,"Without_Earmarks",580919497.96872
2041,"Without_Earmarks",567132154.05094
2042,"Without_Earmarks",575779447.953476
2043,"Without_Earmarks",571658446.071226
2044,"Without_Earmarks",549301034.968917
2045,"Without_Earmarks",527102563.113958
2046,"Without_Earmarks",538675065.964678
2027,"With_Earmarks",506048581.648813
2028,"With_Earmarks",565698936.1478
2029,"With_Earmarks",560249477.58506
2030,"With_Earmarks",575650186.598438
2031,"With_Earmarks",589193528.414149
2032,"With_Earmarks",607462362.53729
2033,"With_Earmarks",612476677.265034
2034,"With_Earmarks",623733426.204005
2035,"With_Earmarks",628413848.576216
2036,"With_Earmarks",642434696.810401
2037,"With_Earmarks",626440060.02037
2038,"With_Earmarks",608181115.088275
2039,"With_Earmarks",554856878.34278
2040,"With_Earmarks",543098081.550255
2041,"With_Earmarks",525872427.048979
2042,"With_Earmarks",531081410.368018
2043,"With_Earmarks",523522097.902271
2044,"With_Earmarks",497726376.216465
2045,"With_Earmarks",472089593.778009
2046,"With_Earmarks",480223786.045232
