"year","scenario","repayments"
2027,"Without_Earmarks",601321387.332067
2028,"Without_Earmarks",634820897.142154
2029,"Without_Earmarks",617306584.695513
2030,"Without_Earmarks",628719968.450092
2031,"Without_Earmarks",644478313.677293
2032,"Without_Earmarks",657809812.555839
2033,"Without_Earmarks",664240406.549193
2034,"Without_Earmarks",658952197.268422
2035,"Without_Earmarks",657262617.423152
2036,"Without_Earmarks",666832739.275556
2037,"Without_Earmarks",674091434.975471
2038,"Without_Earmarks",703532710.968653
2039,"Without_Earmarks",680628134.628785
2040,"Without_Earmarks",675000504.260779
2041,"Without_Earmarks",656511085.364108
2042,"Without_Earmarks",652624667.395052
2043,"Without_Earmarks",656125171.687504
2044,"Without_Earmarks",649925730.422453
2045,"Without_Earmarks",636561492.396176
2046,"Without_Earmarks",631221926.879514
2027,"With_Earmarks",601321387.332067
2028,"With_Earmarks",634820897.142154
2029,"With_Earmarks",617306584.695513
2030,"With_Earmarks",626249672.84306
2031,"With_Earmarks",639537722.463228
2032,"With_Earmarks",650398925.734742
2033,"With_Earmarks",654359224.121064
2034,"With_Earmarks",646600719.23326
2035,"With_Earmarks",642440843.780958
2036,"With_Earmarks",649540670.026329
2037,"With_Earmarks",654329070.119212
2038,"With_Earmarks",681300050.505361
2039,"With_Earmarks",655925178.558461
2040,"With_Earmarks",647827252.583422
2041,"With_Earmarks",626867538.079719
2042,"With_Earmarks",620510824.50363
2043,"With_Earmarks",621541033.18905
2044,"With_Earmarks",612871296.316966
2045,"With_Earmarks",597036762.683657
2046,"With_Earmarks",589226901.559962
