"year","scenario","repayments"
2027,"Without_Earmarks",120558156.281956
2028,"Without_Earmarks",124498405.231163
2029,"Without_Earmarks",123129802.0464
2030,"Without_Earmarks",125077694.31252
2031,"Without_Earmarks",127295930.512403
2032,"Without_Earmarks",128826531.243662
2033,"Without_Earmarks",122873418.718294
2034,"Without_Earmarks",121871569.564328
2035,"Without_Earmarks",122890465.774782
2036,"Without_Earmarks",125439239.456557
2037,"Without_Earmarks",125181579.104614
2038,"Without_Earmarks",127999348.689411
2039,"Without_Earmarks",130408907.293391
2040,"Without_Earmarks",128606641.941462
2041,"Without_Earmarks",125423957.60765
2042,"Without_Earmarks",125100641.782071
2043,"Without_Earmarks",122170580.292565
2044,"Without_Earmarks",115470542.827849
2045,"Without_Earmarks",115270998.029914
2046,"Without_Earmarks",99401926.601139
2027,"With_Earmarks",120558156.281956
2028,"With_Earmarks",124498405.231163
2029,"With_Earmarks",123129802.0464
2030,"With_Earmarks",124377337.954275
2031,"With_Earmarks",125895217.795912
2032,"With_Earmarks",126725462.168924
2033,"With_Earmarks",120071993.28531
2034,"With_Earmarks",118369787.773099
2035,"With_Earmarks",118688327.625307
2036,"With_Earmarks",120536744.948836
2037,"With_Earmarks",119578728.238647
2038,"With_Earmarks",121696141.465198
2039,"With_Earmarks",123405343.710932
2040,"With_Earmarks",120902722.000757
2041,"With_Earmarks",117019681.308699
2042,"With_Earmarks",115996009.124874
2043,"With_Earmarks",112365591.277122
2044,"With_Earmarks",104965197.454161
2045,"With_Earmarks",104065296.29798
2046,"With_Earmarks",87495868.5109588
