"year","scenario","repayments"
2027,"Without_Earmarks",64682670.0944657
2028,"Without_Earmarks",68554186.1804436
2029,"Without_Earmarks",64123941.8914028
2030,"Without_Earmarks",64872052.0497689
2031,"Without_Earmarks",65226721.4515409
2032,"Without_Earmarks",66133456.3455371
2033,"Without_Earmarks",63549349.4180072
2034,"Without_Earmarks",62999149.0477298
2035,"Without_Earmarks",60284658.1780059
2036,"Without_Earmarks",62220366.6854021
2037,"Without_Earmarks",64630562.6884422
2038,"Without_Earmarks",67300171.0735489
2039,"Without_Earmarks",64417114.1672615
2040,"Without_Earmarks",65795951.1042799
2041,"Without_Earmarks",65011890.0832
2042,"Without_Earmarks",64642442.2506364
2043,"Without_Earmarks",63275250.1229827
2044,"Without_Earmarks",63884133.2343712
2045,"Without_Earmarks",65360674.0201728
2046,"Without_Earmarks",67784953.0438303
2027,"With_Earmarks",64682670.0944657
2028,"With_Earmarks",68554186.1804436
2029,"With_Earmarks",64123941.8914028
2030,"With_Earmarks",63753548.1532118
2031,"With_Earmarks",62989713.6584267
2032,"With_Earmarks",62777944.6558657
2033,"With_Earmarks",59075333.8317787
2034,"With_Earmarks",57406629.5649443
2035,"With_Earmarks",53573634.7986633
2036,"With_Earmarks",54390839.4095023
2037,"With_Earmarks",55682531.5159853
2038,"With_Earmarks",57233636.0045349
2039,"With_Earmarks",53232075.2016905
2040,"With_Earmarks",53492408.2421517
2041,"With_Earmarks",51589843.3245147
2042,"With_Earmarks",50101891.595394
2043,"With_Earmarks",47616195.5711832
2044,"With_Earmarks",47106574.7860146
2045,"With_Earmarks",47464611.6752591
2046,"With_Earmarks",48770386.8023594
