"year","scenario","repayments"
2027,"Without_Earmarks",174881497.7107
2028,"Without_Earmarks",186682178.924744
2029,"Without_Earmarks",176032452.230079
2030,"Without_Earmarks",173632100.648158
2031,"Without_Earmarks",175945234.79413
2032,"Without_Earmarks",179012615.677346
2033,"Without_Earmarks",173554178.118334
2034,"Without_Earmarks",172364195.40953
2035,"Without_Earmarks",172578080.88694
2036,"Without_Earmarks",172766088.139438
2037,"Without_Earmarks",173389610.138348
2038,"Without_Earmarks",174250186.767018
2039,"Without_Earmarks",179795529.316101
2040,"Without_Earmarks",175107042.032356
2041,"Without_Earmarks",177756101.94944
2042,"Without_Earmarks",178071475.575179
2043,"Without_Earmarks",177811078.709307
2044,"Without_Earmarks",177164929.516864
2045,"Without_Earmarks",180591994.808246
2046,"Without_Earmarks",173972995.73959
2027,"With_Earmarks",174881497.7107
2028,"With_Earmarks",186682178.924744
2029,"With_Earmarks",176032452.230079
2030,"With_Earmarks",172304312.020543
2031,"With_Earmarks",173289657.538901
2032,"With_Earmarks",175029249.794502
2033,"With_Earmarks",168243023.607875
2034,"With_Earmarks",165725252.271457
2035,"With_Earmarks",164611349.121252
2036,"With_Earmarks",163471567.746135
2037,"With_Earmarks",162767301.117431
2038,"With_Earmarks",162300089.118485
2039,"With_Earmarks",166517643.039953
2040,"With_Earmarks",160501367.128593
2041,"With_Earmarks",161822638.418063
2042,"With_Earmarks",160810223.416187
2043,"With_Earmarks",159222037.922701
2044,"With_Earmarks",157248100.102643
2045,"With_Earmarks",159347376.76641
2046,"With_Earmarks",151400589.07014
