"year","scenario","repayments"
2027,"Without_Earmarks",77334939.3895247
2028,"Without_Earmarks",82082346.7383659
2029,"Without_Earmarks",77383685.1310958
2030,"Without_Earmarks",79497971.4300876
2031,"Without_Earmarks",82075542.2260686
2032,"Without_Earmarks",85709194.626669
2033,"Without_Earmarks",85394657.712058
2034,"Without_Earmarks",80235509.4599835
2035,"Without_Earmarks",74509319.7478413
2036,"Without_Earmarks",74853620.2500074
2037,"Without_Earmarks",72314944.724676
2038,"Without_Earmarks",76292094.4326891
2039,"Without_Earmarks",77008948.0557642
2040,"Without_Earmarks",77713026.6549731
2041,"Without_Earmarks",73577314.9422414
2042,"Without_Earmarks",76727118.1774763
2043,"Without_Earmarks",80145611.0116204
2044,"Without_Earmarks",84026088.7158574
2045,"Without_Earmarks",84144704.057803
2046,"Without_Earmarks",79590331.0194926
2027,"With_Earmarks",77334939.3895247
2028,"With_Earmarks",82082346.7383659
2029,"With_Earmarks",77383685.1310958
2030,"With_Earmarks",78830080.1235234
2031,"With_Earmarks",80739759.6129402
2032,"With_Earmarks",83705520.7069765
2033,"With_Earmarks",82723092.4858013
2034,"With_Earmarks",76896052.9271626
2035,"With_Earmarks",70501971.9084562
2036,"With_Earmarks",70178381.1040581
2037,"With_Earmarks",66971814.2721625
2038,"With_Earmarks",70281072.6736114
2039,"With_Earmarks",70330034.9901224
2040,"With_Earmarks",70366222.282767
2041,"With_Earmarks",65562619.2634713
2042,"With_Earmarks",68044531.192142
2043,"With_Earmarks",70795132.7197219
2044,"With_Earmarks",74007719.1173947
2045,"With_Earmarks",73458443.1527761
2046,"With_Earmarks",68236178.8079015
