"year","scenario","repayments"
2027,"Without_Earmarks",77922206.5213537
2028,"Without_Earmarks",76718274.7488414
2029,"Without_Earmarks",75699469.0577312
2030,"Without_Earmarks",76011668.2496098
2031,"Without_Earmarks",77332900.6429445
2032,"Without_Earmarks",77457125.382887
2033,"Without_Earmarks",76225339.48396
2034,"Without_Earmarks",79273311.6400719
2035,"Without_Earmarks",80045921.7292214
2036,"Without_Earmarks",80187175.945501
2037,"Without_Earmarks",80168575.6070129
2038,"Without_Earmarks",82178730.5184028
2039,"Without_Earmarks",84118831.5072993
2040,"Without_Earmarks",81517839.6872927
2041,"Without_Earmarks",78942655.0642091
2042,"Without_Earmarks",76213855.2273012
2043,"Without_Earmarks",72127078.2306938
2044,"Without_Earmarks",73107866.2199017
2045,"Without_Earmarks",73854916.1834538
2046,"Without_Earmarks",72301953.8644164
2027,"With_Earmarks",77922206.5213537
2028,"With_Earmarks",76718274.7488414
2029,"With_Earmarks",75699469.0577312
2030,"With_Earmarks",74913632.9945622
2031,"With_Earmarks",75136830.1328492
2032,"With_Earmarks",74163019.6177441
2033,"With_Earmarks",71833198.4637695
2034,"With_Earmarks",73783135.3648337
2035,"With_Earmarks",73457710.1989357
2036,"With_Earmarks",72500929.1601677
2037,"With_Earmarks",71384293.5666319
2038,"With_Earmarks",72296413.2229742
2039,"With_Earmarks",73138478.9568231
2040,"With_Earmarks",69439451.8817689
2041,"With_Earmarks",65766232.0036376
2042,"With_Earmarks",61939396.9116822
2043,"With_Earmarks",56754584.6600271
2044,"With_Earmarks",56637337.3941874
2045,"With_Earmarks",56286352.1026919
2046,"With_Earmarks",53635354.5286068
