"year","scenario","repayments"
2027,"Without_Earmarks",74165850.8530736
2028,"Without_Earmarks",82723412.5156796
2029,"Without_Earmarks",79456511.3918718
2030,"Without_Earmarks",81495651.7220145
2031,"Without_Earmarks",82129711.0609577
2032,"Without_Earmarks",82308616.2402624
2033,"Without_Earmarks",83415233.5820311
2034,"Without_Earmarks",83014826.1117511
2035,"Without_Earmarks",85645326.8885296
2036,"Without_Earmarks",83646189.304184
2037,"Without_Earmarks",85147820.0335947
2038,"Without_Earmarks",87778320.8103731
2039,"Without_Earmarks",88310763.374054
2040,"Without_Earmarks",88867683.1799222
2041,"Without_Earmarks",88764482.6669846
2042,"Without_Earmarks",88959900.409036
2043,"Without_Earmarks",86489732.683151
2044,"Without_Earmarks",84506629.5887402
2045,"Without_Earmarks",77976340.2927322
2046,"Without_Earmarks",68669805.1234688
2027,"With_Earmarks",74165850.8530736
2028,"With_Earmarks",82723412.5156796
2029,"With_Earmarks",79456511.3918718
2030,"With_Earmarks",80777077.6540191
2031,"With_Earmarks",80692562.9249668
2032,"With_Earmarks",80152894.0362761
2033,"With_Earmarks",80540937.3100494
2034,"With_Earmarks",79421955.7717739
2035,"With_Earmarks",81333882.480557
2036,"With_Earmarks",78616170.828216
2037,"With_Earmarks",79399227.4896312
2038,"With_Earmarks",81311154.1984143
2039,"With_Earmarks",81125022.6940997
2040,"With_Earmarks",80963368.4319725
2041,"With_Earmarks",80141593.8510395
2042,"With_Earmarks",79618437.5250954
2043,"With_Earmarks",76429695.731215
2044,"With_Earmarks",73728018.5688088
2045,"With_Earmarks",66479155.2048053
2046,"With_Earmarks",56454045.9675465
