"year","scenario","repayments"
2027,"Without_Earmarks",91597064.8749844
2028,"Without_Earmarks",96068882.934185
2029,"Without_Earmarks",91748741.8492128
2030,"Without_Earmarks",92888716.12926
2031,"Without_Earmarks",90647384.1299319
2032,"Without_Earmarks",95006552.5630394
2033,"Without_Earmarks",97825220.8036353
2034,"Without_Earmarks",99319759.9358661
2035,"Without_Earmarks",101328049.75071
2036,"Without_Earmarks",93137732.6672678
2037,"Without_Earmarks",94014198.6653281
2038,"Without_Earmarks",95067981.2342647
2039,"Without_Earmarks",95350866.0924362
2040,"Without_Earmarks",98358905.6551754
2041,"Without_Earmarks",94512195.8849476
2042,"Without_Earmarks",95518244.0818277
2043,"Without_Earmarks",92384817.1215969
2044,"Without_Earmarks",93273138.4062472
2045,"Without_Earmarks",94051193.5918094
2046,"Without_Earmarks",95721217.5857599
2027,"With_Earmarks",91597064.8749844
2028,"With_Earmarks",96068882.934185
2029,"With_Earmarks",91748741.8492128
2030,"With_Earmarks",92738154.3445138
2031,"With_Earmarks",90346260.5604394
2032,"With_Earmarks",94554867.2088007
2033,"With_Earmarks",97222973.6646504
2034,"With_Earmarks",98566951.012135
2035,"With_Earmarks",100424679.042233
2036,"With_Earmarks",92083800.1740442
2037,"With_Earmarks",92809704.3873582
2038,"With_Earmarks",93712925.1715486
2039,"With_Earmarks",93845248.2449739
2040,"With_Earmarks",96702726.0229669
2041,"With_Earmarks",92705454.4679928
2042,"With_Earmarks",93560940.8801267
2043,"With_Earmarks",90276952.1351497
2044,"With_Earmarks",91014711.6350537
2045,"With_Earmarks",91642205.0358697
2046,"With_Earmarks",93161667.245074
