"year","scenario","repayments"
2027,"Without_Earmarks",387093601.465653
2028,"Without_Earmarks",372094446.048343
2029,"Without_Earmarks",367048043.646625
2030,"Without_Earmarks",369525783.588733
2031,"Without_Earmarks",349285067.300624
2032,"Without_Earmarks",349484439.64712
2033,"Without_Earmarks",344321495.391888
2034,"Without_Earmarks",341236674.767111
2035,"Without_Earmarks",342282051.102155
2036,"Without_Earmarks",343731769.114474
2037,"Without_Earmarks",350134118.884361
2038,"Without_Earmarks",356237359.823688
2039,"Without_Earmarks",366892457.04859
2040,"Without_Earmarks",367443139.555121
2041,"Without_Earmarks",372307922.206427
2042,"Without_Earmarks",372076554.189751
2043,"Without_Earmarks",344425354.826837
2044,"Without_Earmarks",344644889.325346
2045,"Without_Earmarks",343642586.693713
2046,"Without_Earmarks",344694908.766879
2027,"With_Earmarks",387093601.465653
2028,"With_Earmarks",372094446.048343
2029,"With_Earmarks",367048043.646625
2030,"With_Earmarks",367524019.670381
2031,"With_Earmarks",345281539.46392
2032,"With_Earmarks",343479147.892064
2033,"With_Earmarks",336314439.71848
2034,"With_Earmarks",331227855.175351
2035,"With_Earmarks",330271467.592043
2036,"With_Earmarks",329719421.68601
2037,"With_Earmarks",334120007.537545
2038,"With_Earmarks",338221484.55852
2039,"With_Earmarks",346874817.865069
2040,"With_Earmarks",345423736.453249
2041,"With_Earmarks",348286755.186203
2042,"With_Earmarks",346053623.251175
2043,"With_Earmarks",316400659.969909
2044,"With_Earmarks",314618430.550066
2045,"With_Earmarks",311614364.00008
2046,"With_Earmarks",310664922.154895
