"year","scenario","repayments"
2027,"Without_Earmarks",27861832.9594398
2028,"Without_Earmarks",25719191.3454737
2029,"Without_Earmarks",24874803.2627152
2030,"Without_Earmarks",25712615.1657402
2031,"Without_Earmarks",24631902.5209608
2032,"Without_Earmarks",25516647.1454298
2033,"Without_Earmarks",25504813.4455654
2034,"Without_Earmarks",26237812.9760414
2035,"Without_Earmarks",26448001.3942171
2036,"Without_Earmarks",27957602.9375877
2037,"Without_Earmarks",29456304.4809583
2038,"Without_Earmarks",30502757.3620552
2039,"Without_Earmarks",28508682.7417336
2040,"Without_Earmarks",29148751.6343653
2041,"Without_Earmarks",30658353.1777359
2042,"Without_Earmarks",29925033.9411091
2043,"Without_Earmarks",27517779.4396068
2044,"Without_Earmarks",24999785.9069598
2045,"Without_Earmarks",24613690.5869238
2046,"Without_Earmarks",26123292.1302944
2027,"With_Earmarks",27861832.9594398
2028,"With_Earmarks",25719191.3454737
2029,"With_Earmarks",24874803.2627152
2030,"With_Earmarks",25350410.9799082
2031,"With_Earmarks",23907494.1492967
2032,"With_Earmarks",24430034.5879336
2033,"With_Earmarks",24055996.7022371
2034,"With_Earmarks",24426792.0468811
2035,"With_Earmarks",24274776.2792246
2036,"With_Earmarks",25422173.6367632
2037,"With_Earmarks",26558670.9943017
2038,"With_Earmarks",27242919.6895665
2039,"With_Earmarks",24886640.8834128
2040,"With_Earmarks",25164505.5902125
2041,"With_Earmarks",26311902.947751
2042,"With_Earmarks",25216379.5252921
2043,"With_Earmarks",22446920.8379578
2044,"With_Earmarks",19566723.1194787
2045,"With_Earmarks",18818423.6136106
2046,"With_Earmarks",19965820.9711491
